tool	dataset	value
ribocop	SRP003554_mouse	0.9990069513406157
riborf	SRP003554_mouse	0.9902377972465581
ribowave	SRP003554_mouse	0.6711495357028499
rpbp	SRP003554_mouse	0.8389687235841081
ribocop	SRP010679_human	0.962962962962963
riborf	SRP010679_human	0.8442010950721752
ribowave	SRP010679_human	0.44649933949801845
rpbp	SRP010679_human	0.8740930431071277
ribocop	SRP029589_human	0.4163382300250806
riborf	SRP029589_human	0.7479444286929402
ribowave	SRP029589_human	0.45127873098089993
rpbp	SRP029589_human	0.8405797101449277
ribowave	SRP062407_mouse	0.7527964205816554
rpbp	SRP062407_mouse	0.8699021207177814
ribocop	SRP062407_mouse	0.9970203988081594
riborf	SRP062407_mouse	0.9789522918615529
ribocop	SRP063852_human	0.9841549295774649
riborf	SRP063852_human	0.9184629803186505
ribowave	SRP063852_human	0.8359683794466403
rpbp	SRP063852_human	0.9067315490673155
rpbp	SRP078005_mouse	0.8863039399624766
ribowave	SRP078005_mouse	0.5898666666666667
ribocop	SRP078005_mouse	0.9975206611570248
riborf	SRP078005_mouse	0.9803100125680771
ribocop	SRP091889_mouse	0.9896288209606988
riborf	SRP091889_mouse	0.9505875690216622
ribowave	SRP091889_mouse	0.7159993242101705
rpbp	SRP091889_mouse	0.8556411196675223
ribowave	SRP098789_human	0.6660924490381855
ribocop	SRP098789_human	0.9937499999999999
riborf	SRP098789_human	0.9006590187942397
rpbp	SRP098789_human	0.8774916943521596
