tool	dataset	value
ribowave	SRP062407	0.7527964205816554
rpbp	SRP062407	0.8699021207177814
ribocop	SRP062407	0.9970203988081594
riborf	SRP062407	0.9789522918615529
ribocop	SRP063852	0.9841549295774649
riborf	SRP063852	0.9184629803186505
ribowave	SRP063852	0.8359683794466403
rpbp	SRP063852	0.9067315490673155
rpbp	SRP078005	0.8863039399624766
ribowave	SRP078005	0.5898666666666667
ribocop	SRP078005	0.9975206611570248
riborf	SRP078005	0.9803100125680771
ribocop	SRP091889	0.9896288209606988
riborf	SRP091889	0.9505875690216622
ribowave	SRP091889	0.7159993242101705
rpbp	SRP091889	0.8556411196675223
ribowave	SRP098789	0.6660924490381855
ribocop	SRP098789	0.9937499999999999
riborf	SRP098789	0.9006590187942397
rpbp	SRP098789	0.8774916943521596
