gene_id	count
ENSG00000000003.14	1001
ENSG00000000005.5	0
ENSG00000000419.12	1468
ENSG00000000457.13	57
ENSG00000000460.16	182
ENSG00000000938.12	0
ENSG00000000971.15	10
ENSG00000001036.13	518
ENSG00000001084.10	788
ENSG00000001167.14	340
ENSG00000001460.17	145
ENSG00000001461.16	221
ENSG00000001497.16	1054
ENSG00000001561.6	382
ENSG00000001617.11	385
ENSG00000001626.14	0
ENSG00000001629.9	539
ENSG00000001630.15	946
ENSG00000001631.15	423
ENSG00000002016.17	65
ENSG00000002330.13	397
ENSG00000002549.12	378
ENSG00000002586.18	0
ENSG00000002586.18_PAR_Y	0
ENSG00000002587.9	1
ENSG00000002726.20	0
ENSG00000002745.12	0
ENSG00000002746.14	2
ENSG00000002822.15	174
ENSG00000002834.17	974
ENSG00000002919.14	149
ENSG00000002933.7	0
ENSG00000003056.7	550
ENSG00000003096.13	413
ENSG00000003137.8	0
ENSG00000003147.17	0
ENSG00000003249.13	36
ENSG00000003393.14	461
ENSG00000003400.14	2
ENSG00000003402.19	250
ENSG00000003436.14	1502
ENSG00000003509.15	130
ENSG00000003756.16	915
ENSG00000003987.13	0
ENSG00000003989.16	43
ENSG00000004059.10	687
ENSG00000004139.13	5
ENSG00000004142.11	384
ENSG00000004399.12	7
ENSG00000004455.16	193
ENSG00000004468.12	0
ENSG00000004478.7	930
ENSG00000004487.15	1534
ENSG00000004534.14	414
ENSG00000004660.14	25
ENSG00000004700.15	1593
ENSG00000004766.15	448
ENSG00000004776.11	0
ENSG00000004777.18	0
ENSG00000004779.9	1177
ENSG00000004799.7	199
ENSG00000004809.13	1
ENSG00000004838.13	2
ENSG00000004846.16	0
ENSG00000004848.7	0
ENSG00000004864.13	469
ENSG00000004866.19	243
ENSG00000004897.11	1783
ENSG00000004939.13	0
ENSG00000004948.13	0
ENSG00000004961.14	614
ENSG00000004975.11	303
ENSG00000005001.9	0
ENSG00000005007.12	1852
ENSG00000005020.12	298
ENSG00000005022.5	1466
ENSG00000005059.15	236
ENSG00000005073.5	86
ENSG00000005075.15	24
ENSG00000005100.12	204
ENSG00000005102.12	0
ENSG00000005108.15	0
ENSG00000005156.11	307
ENSG00000005175.9	1053
ENSG00000005187.11	37
ENSG00000005189.19	80
ENSG00000005194.14	263
ENSG00000005206.16	67
ENSG00000005238.19	5
ENSG00000005243.9	8
ENSG00000005249.12	40
ENSG00000005302.17	304
ENSG00000005339.14	688
ENSG00000005379.15	7
ENSG00000005381.7	0
ENSG00000005421.8	0
ENSG00000005436.13	240
ENSG00000005448.16	338
ENSG00000005469.11	322
ENSG00000005471.15	0
ENSG00000005483.20	366
ENSG00000005486.16	142
ENSG00000005513.9	0
ENSG00000005700.14	648
ENSG00000005801.16	315
ENSG00000005810.17	995
ENSG00000005812.10	736
ENSG00000005844.17	0
ENSG00000005882.11	367
ENSG00000005884.17	6161
ENSG00000005889.15	696
ENSG00000005893.15	4681
ENSG00000005961.17	21
ENSG00000005981.12	0
ENSG00000006007.11	193
ENSG00000006015.17	129
ENSG00000006016.10	3
ENSG00000006025.11	14
ENSG00000006042.11	134
ENSG00000006047.12	0
ENSG00000006059.3	0
ENSG00000006062.13	95
ENSG00000006071.12	0
ENSG00000006116.3	0
ENSG00000006118.14	53
ENSG00000006125.16	1967
ENSG00000006128.11	0
ENSG00000006194.9	142
ENSG00000006210.6	0
ENSG00000006282.20	371
ENSG00000006283.17	0
ENSG00000006327.13	423
ENSG00000006377.10	0
ENSG00000006432.15	38
ENSG00000006451.7	279
ENSG00000006453.13	214
ENSG00000006459.10	54
ENSG00000006468.13	480
ENSG00000006530.15	390
ENSG00000006534.15	38
ENSG00000006555.10	6
ENSG00000006576.16	521
ENSG00000006606.8	109
ENSG00000006607.13	259
ENSG00000006611.15	0
ENSG00000006625.17	261
ENSG00000006634.7	265
ENSG00000006638.11	20
ENSG00000006652.13	563
ENSG00000006659.12	0
ENSG00000006695.10	20
ENSG00000006704.10	240
ENSG00000006712.14	536
ENSG00000006715.15	1041
ENSG00000006740.16	12
ENSG00000006744.18	744
ENSG00000006747.14	53
ENSG00000006756.15	32
ENSG00000006757.11	96
ENSG00000006788.12	0
ENSG00000006831.9	455
ENSG00000006837.11	49
ENSG00000007001.12	0
ENSG00000007038.10	0
ENSG00000007047.14	42
ENSG00000007062.11	0
ENSG00000007080.10	697
ENSG00000007129.17	0
ENSG00000007168.12	927
ENSG00000007171.16	0
ENSG00000007174.17	0
ENSG00000007202.14	1009
ENSG00000007216.14	0
ENSG00000007237.18	0
ENSG00000007255.10	66
ENSG00000007264.14	0
ENSG00000007306.14	0
ENSG00000007312.12	0
ENSG00000007314.11	4
ENSG00000007341.18	131
ENSG00000007350.16	0
ENSG00000007372.20	83
ENSG00000007376.7	112
ENSG00000007384.15	53
ENSG00000007392.16	321
ENSG00000007402.11	105
ENSG00000007516.13	46
ENSG00000007520.3	84
ENSG00000007541.16	58
ENSG00000007545.15	88
ENSG00000007866.18	45
ENSG00000007908.15	0
ENSG00000007923.15	871
ENSG00000007933.12	0
ENSG00000007944.14	47
ENSG00000007952.17	0
ENSG00000007968.6	24
ENSG00000008018.8	2623
ENSG00000008056.12	0
ENSG00000008083.13	110
ENSG00000008086.11	70
ENSG00000008118.9	1
ENSG00000008128.22	9
ENSG00000008130.15	414
ENSG00000008196.12	0
ENSG00000008197.4	0
ENSG00000008226.19	0
ENSG00000008256.15	183
ENSG00000008277.14	98
ENSG00000008282.8	2804
ENSG00000008283.15	192
ENSG00000008294.20	5079
ENSG00000008300.15	12
ENSG00000008311.14	9
ENSG00000008323.15	1
ENSG00000008324.10	148
ENSG00000008382.15	31
ENSG00000008394.12	2536
ENSG00000008405.11	357
ENSG00000008438.4	0
ENSG00000008441.16	828
ENSG00000008513.14	741
ENSG00000008516.16	1
ENSG00000008517.16	9
ENSG00000008710.18	13
ENSG00000008735.13	26
ENSG00000008838.18	299
ENSG00000008853.16	44
ENSG00000008869.11	357
ENSG00000008952.16	1412
ENSG00000008988.9	117
ENSG00000009307.15	1734
ENSG00000009335.17	870
ENSG00000009413.15	223
ENSG00000009694.13	1
ENSG00000009709.11	0
ENSG00000009724.16	0
ENSG00000009765.14	0
ENSG00000009780.15	60
ENSG00000009790.14	0
ENSG00000009830.11	44
ENSG00000009844.15	520
ENSG00000009950.15	0
ENSG00000009954.10	2063
ENSG00000010017.12	515
ENSG00000010030.13	0
ENSG00000010072.15	202
ENSG00000010165.19	1042
ENSG00000010219.13	96
ENSG00000010244.17	1514
ENSG00000010256.10	2845
ENSG00000010270.13	88
ENSG00000010278.12	3398
ENSG00000010282.14	0
ENSG00000010292.12	2144
ENSG00000010295.19	0
ENSG00000010310.8	0
ENSG00000010318.20	23
ENSG00000010319.6	0
ENSG00000010322.15	286
ENSG00000010327.10	0
ENSG00000010361.13	41
ENSG00000010379.15	0
ENSG00000010404.17	103
ENSG00000010438.16	721
ENSG00000010539.11	35
ENSG00000010610.9	0
ENSG00000010626.14	30
ENSG00000010671.15	0
ENSG00000010704.18	0
ENSG00000010803.16	48
ENSG00000010810.17	120
ENSG00000010818.8	729
ENSG00000010932.15	0
ENSG00000011007.12	378
ENSG00000011009.10	86
ENSG00000011021.21	121
ENSG00000011028.13	317
ENSG00000011052.21	6302
ENSG00000011083.8	0
ENSG00000011105.11	24
ENSG00000011114.14	12
ENSG00000011132.11	58
ENSG00000011143.16	287
ENSG00000011198.7	253
ENSG00000011201.11	66
ENSG00000011243.17	248
ENSG00000011258.15	152
ENSG00000011260.13	990
ENSG00000011275.18	487
ENSG00000011295.15	376
ENSG00000011304.18	3412
ENSG00000011332.19	13
ENSG00000011347.9	16
ENSG00000011376.9	683
ENSG00000011405.13	1362
ENSG00000011422.11	503
ENSG00000011426.10	6193
ENSG00000011451.17	119
ENSG00000011454.16	805
ENSG00000011465.16	0
ENSG00000011478.11	64
ENSG00000011485.14	842
ENSG00000011523.13	95
ENSG00000011566.14	969
ENSG00000011590.13	0
ENSG00000011600.11	0
ENSG00000011638.10	107
ENSG00000011677.12	9
ENSG00000012048.20	400
ENSG00000012061.15	133
ENSG00000012124.15	0
ENSG00000012171.18	31
ENSG00000012174.11	777
ENSG00000012211.12	61
ENSG00000012223.12	0
ENSG00000012232.8	168
ENSG00000012504.13	0
ENSG00000012660.13	1527
ENSG00000012779.10	0
ENSG00000012817.15	0
ENSG00000012822.15	90
ENSG00000012963.14	165
ENSG00000012983.11	1755
ENSG00000013016.15	48
ENSG00000013275.7	2003
ENSG00000013288.8	35
ENSG00000013293.5	0
ENSG00000013297.10	209
ENSG00000013306.15	1005
ENSG00000013364.18	180
ENSG00000013374.15	1143
ENSG00000013375.15	837
ENSG00000013392.7	44
ENSG00000013441.15	513
ENSG00000013503.9	862
ENSG00000013523.9	211
ENSG00000013561.17	490
ENSG00000013563.13	86
ENSG00000013573.16	28
ENSG00000013583.8	218
ENSG00000013588.6	1310
ENSG00000013619.13	45
ENSG00000013725.14	0
ENSG00000013810.18	983
ENSG00000014123.9	337
ENSG00000014138.8	532
ENSG00000014164.6	90
ENSG00000014216.15	1060
ENSG00000014257.15	16
ENSG00000014641.17	4996
ENSG00000014824.13	451
ENSG00000014914.19	14
ENSG00000014919.12	331
ENSG00000015133.18	39
ENSG00000015153.14	136
ENSG00000015171.18	250
ENSG00000015285.10	13
ENSG00000015413.9	0
ENSG00000015475.18	302
ENSG00000015479.17	4032
ENSG00000015520.14	0
ENSG00000015532.9	136
ENSG00000015568.12	0
ENSG00000015592.16	0
ENSG00000015676.17	691
ENSG00000016082.14	6
ENSG00000016391.10	5
ENSG00000016402.13	15
ENSG00000016490.15	0
ENSG00000016602.9	0
ENSG00000016864.17	620
ENSG00000017260.19	650
ENSG00000017427.15	0
ENSG00000017483.14	0
ENSG00000017797.11	826
ENSG00000018189.12	64
ENSG00000018236.14	125
ENSG00000018280.16	0
ENSG00000018408.14	1895
ENSG00000018510.13	886
ENSG00000018610.13	207
ENSG00000018625.14	0
ENSG00000018699.11	364
ENSG00000018869.16	0
ENSG00000019102.11	0
ENSG00000019144.17	101
ENSG00000019169.10	0
ENSG00000019186.9	0
ENSG00000019485.12	27
ENSG00000019505.7	0
ENSG00000019549.8	94
ENSG00000019582.14	0
ENSG00000019991.15	0
ENSG00000019995.6	266
ENSG00000020129.15	91
ENSG00000020181.17	0
ENSG00000020256.19	159
ENSG00000020426.10	2289
ENSG00000020577.13	517
ENSG00000020633.18	0
ENSG00000020922.12	685
ENSG00000021300.13	22
ENSG00000021355.12	136
ENSG00000021461.16	0
ENSG00000021488.12	0
ENSG00000021574.11	334
ENSG00000021645.18	16
ENSG00000021762.19	66
ENSG00000021776.10	1397
ENSG00000021826.14	190
ENSG00000021852.12	0
ENSG00000022267.16	721
ENSG00000022277.12	1365
ENSG00000022355.16	0
ENSG00000022556.15	0
ENSG00000022567.9	22
ENSG00000022840.15	388
ENSG00000022976.15	107
ENSG00000023041.11	103
ENSG00000023171.15	489
ENSG00000023191.16	164
ENSG00000023228.13	2987
ENSG00000023287.12	386
ENSG00000023318.7	559
ENSG00000023330.14	875
ENSG00000023445.13	1
ENSG00000023516.8	443
ENSG00000023572.8	187
ENSG00000023608.4	6027
ENSG00000023697.12	132
ENSG00000023734.10	887
ENSG00000023839.10	1
ENSG00000023892.10	166
ENSG00000023902.13	44
ENSG00000023909.9	1088
ENSG00000024048.10	1203
ENSG00000024422.11	9
ENSG00000024526.16	470
ENSG00000024862.17	184
ENSG00000025039.14	2
ENSG00000025156.12	208
ENSG00000025293.16	620
ENSG00000025423.11	6
ENSG00000025434.18	19
ENSG00000025708.13	38
ENSG00000025770.18	244
ENSG00000025772.7	1617
ENSG00000025796.13	640
ENSG00000025800.13	795
ENSG00000026025.14	6183
ENSG00000026036.21	205
ENSG00000026103.20	51
ENSG00000026297.15	104
ENSG00000026508.16	1771
ENSG00000026559.13	57
ENSG00000026652.13	35
ENSG00000026751.16	0
ENSG00000026950.16	45
ENSG00000027001.9	336
ENSG00000027075.13	387
ENSG00000027644.4	0
ENSG00000027697.13	300
ENSG00000027847.13	54
ENSG00000027869.11	0
ENSG00000028116.16	329
ENSG00000028137.17	0
ENSG00000028203.17	1066
ENSG00000028277.21	26
ENSG00000028310.17	414
ENSG00000028528.14	798
ENSG00000028839.9	145
ENSG00000029153.14	284
ENSG00000029363.15	458
ENSG00000029364.11	1878
ENSG00000029534.19	34
ENSG00000029559.6	0
ENSG00000029639.10	296
ENSG00000029725.16	360
ENSG00000029993.14	512
ENSG00000030066.13	853
ENSG00000030110.12	18
ENSG00000030304.13	0
ENSG00000030419.16	3
ENSG00000030582.16	3983
ENSG00000031003.10	123
ENSG00000031081.10	190
ENSG00000031691.6	337
ENSG00000031698.12	1571
ENSG00000031823.14	617
ENSG00000032219.18	946
ENSG00000032389.12	269
ENSG00000032444.15	705
ENSG00000032742.17	115
ENSG00000033011.11	244
ENSG00000033030.13	272
ENSG00000033050.7	706
ENSG00000033100.15	138
ENSG00000033122.18	0
ENSG00000033170.16	3925
ENSG00000033178.12	2649
ENSG00000033327.12	97
ENSG00000033627.15	0
ENSG00000033800.13	631
ENSG00000033867.16	4102
ENSG00000034053.14	16
ENSG00000034152.18	334
ENSG00000034239.10	0
ENSG00000034510.5	8257
ENSG00000034533.11	60
ENSG00000034677.12	779
ENSG00000034693.14	315
ENSG00000034713.7	757
ENSG00000034971.15	0
ENSG00000035115.21	25
ENSG00000035141.7	179
ENSG00000035403.16	8734
ENSG00000035499.12	825
ENSG00000035664.11	9
ENSG00000035681.7	85
ENSG00000035687.9	550
ENSG00000035720.7	0
ENSG00000035862.12	1478
ENSG00000035928.14	551
ENSG00000036054.12	1056
ENSG00000036257.12	1394
ENSG00000036448.9	0
ENSG00000036473.6	0
ENSG00000036530.8	0
ENSG00000036549.12	311
ENSG00000036565.14	0
ENSG00000036672.15	2
ENSG00000036828.14	0
ENSG00000037042.8	21
ENSG00000037241.7	237
ENSG00000037280.15	0
ENSG00000037474.14	1759
ENSG00000037637.10	155
ENSG00000037749.11	359
ENSG00000037757.13	105
ENSG00000037897.16	60
ENSG00000037965.5	0
ENSG00000038002.8	266
ENSG00000038210.12	269
ENSG00000038219.12	963
ENSG00000038274.16	1510
ENSG00000038295.7	134
ENSG00000038358.14	394
ENSG00000038382.17	848
ENSG00000038427.15	18
ENSG00000038532.14	170
ENSG00000038945.14	1
ENSG00000039068.18	34
ENSG00000039123.15	1244
ENSG00000039139.9	226
ENSG00000039319.16	477
ENSG00000039523.18	251
ENSG00000039537.13	0
ENSG00000039560.13	875
ENSG00000039600.10	19
ENSG00000039650.10	175
ENSG00000039987.6	0
ENSG00000040199.18	63
ENSG00000040275.16	1361
ENSG00000040341.17	557
ENSG00000040487.12	43
ENSG00000040531.14	198
ENSG00000040608.13	37
ENSG00000040633.12	234
ENSG00000040731.10	0
ENSG00000040933.15	172
ENSG00000041353.9	365
ENSG00000041357.15	3027
ENSG00000041515.15	0
ENSG00000041802.10	1000
ENSG00000041880.14	42
ENSG00000041982.15	3221
ENSG00000041988.15	87
ENSG00000042062.11	0
ENSG00000042088.13	412
ENSG00000042286.14	444
ENSG00000042304.10	0
ENSG00000042317.16	171
ENSG00000042429.10	645
ENSG00000042445.13	686
ENSG00000042493.15	606
ENSG00000042753.11	1089
ENSG00000042781.12	0
ENSG00000042813.7	0
ENSG00000042832.11	0
ENSG00000042980.12	0
ENSG00000043039.6	0
ENSG00000043093.13	436
ENSG00000043143.20	268
ENSG00000043355.11	0
ENSG00000043462.11	0
ENSG00000043514.15	143
ENSG00000043591.5	0
ENSG00000044012.3	0
ENSG00000044090.8	221
ENSG00000044115.20	0
ENSG00000044446.11	252
ENSG00000044459.14	170
ENSG00000044524.10	0
ENSG00000044574.7	7856
ENSG00000046604.12	1218
ENSG00000046647.13	37
ENSG00000046651.14	187
ENSG00000046653.14	0
ENSG00000046774.9	0
ENSG00000046889.18	266
ENSG00000047056.14	45
ENSG00000047188.15	722
ENSG00000047230.14	349
ENSG00000047249.16	382
ENSG00000047315.14	5475
ENSG00000047346.12	214
ENSG00000047365.11	0
ENSG00000047410.13	1363
ENSG00000047457.13	3
ENSG00000047578.12	135
ENSG00000047579.19	116
ENSG00000047597.5	49
ENSG00000047617.14	0
ENSG00000047621.11	115
ENSG00000047634.14	175
ENSG00000047644.18	93
ENSG00000047648.21	32
ENSG00000047662.4	0
ENSG00000047849.21	5164
ENSG00000047932.13	468
ENSG00000047936.10	0
ENSG00000048028.11	361
ENSG00000048052.21	334
ENSG00000048140.17	112
ENSG00000048162.20	689
ENSG00000048342.15	172
ENSG00000048392.11	859
ENSG00000048405.9	440
ENSG00000048462.10	0
ENSG00000048471.13	106
ENSG00000048540.14	0
ENSG00000048544.5	614
ENSG00000048545.13	0
ENSG00000048649.13	1218
ENSG00000048707.13	580
ENSG00000048740.18	0
ENSG00000048828.16	570
ENSG00000048991.16	236
ENSG00000049089.13	4
ENSG00000049130.13	339
ENSG00000049167.13	57
ENSG00000049192.14	0
ENSG00000049239.12	112
ENSG00000049245.12	587
ENSG00000049246.14	36
ENSG00000049247.13	0
ENSG00000049249.8	12
ENSG00000049283.17	0
ENSG00000049323.15	4777
ENSG00000049449.8	180
ENSG00000049540.16	0
ENSG00000049541.10	586
ENSG00000049618.22	285
ENSG00000049656.13	98
ENSG00000049759.17	4141
ENSG00000049768.14	0
ENSG00000049769.12	16
ENSG00000049860.13	681
ENSG00000049883.14	153
ENSG00000050030.13	0
ENSG00000050130.17	2375
ENSG00000050165.17	0
ENSG00000050327.14	1
ENSG00000050344.8	1135
ENSG00000050393.11	209
ENSG00000050405.13	742
ENSG00000050426.15	146
ENSG00000050438.16	301
ENSG00000050555.17	44
ENSG00000050628.20	0
ENSG00000050730.15	0
ENSG00000050748.17	538
ENSG00000050767.15	1
ENSG00000050820.16	269
ENSG00000051009.10	53
ENSG00000051108.14	539
ENSG00000051128.18	188
ENSG00000051180.16	218
ENSG00000051341.13	146
ENSG00000051382.8	286
ENSG00000051523.10	0
ENSG00000051596.9	89
ENSG00000051620.10	182
ENSG00000051825.14	423
ENSG00000052126.14	109
ENSG00000052344.15	2
ENSG00000052723.11	256
ENSG00000052749.13	300
ENSG00000052795.12	72
ENSG00000052802.12	566
ENSG00000052841.14	264
ENSG00000052850.5	0
ENSG00000053108.16	11
ENSG00000053254.15	59
ENSG00000053328.8	0
ENSG00000053371.12	194
ENSG00000053372.4	347
ENSG00000053438.8	0
ENSG00000053501.12	207
ENSG00000053524.11	13
ENSG00000053702.14	0
ENSG00000053747.15	1272
ENSG00000053770.11	765
ENSG00000053900.10	191
ENSG00000053918.15	0
ENSG00000054116.11	539
ENSG00000054118.13	1869
ENSG00000054148.17	405
ENSG00000054179.11	2
ENSG00000054219.10	0
ENSG00000054267.20	341
ENSG00000054277.13	178
ENSG00000054282.15	17
ENSG00000054356.13	0
ENSG00000054392.12	15
ENSG00000054523.17	815
ENSG00000054598.6	103
ENSG00000054611.13	77
ENSG00000054654.15	497
ENSG00000054690.13	7
ENSG00000054793.13	371
ENSG00000054796.12	0
ENSG00000054803.3	0
ENSG00000054938.15	0
ENSG00000054965.10	248
ENSG00000054967.12	20
ENSG00000054983.16	3
ENSG00000055044.10	946
ENSG00000055070.16	213
ENSG00000055118.14	0
ENSG00000055130.15	1172
ENSG00000055147.18	277
ENSG00000055163.19	261
ENSG00000055208.18	228
ENSG00000055211.12	184
ENSG00000055332.16	785
ENSG00000055483.19	288
ENSG00000055609.17	334
ENSG00000055732.12	0
ENSG00000055813.5	0
ENSG00000055917.15	1866
ENSG00000055950.16	260
ENSG00000055955.15	0
ENSG00000055957.10	0
ENSG00000056050.6	141
ENSG00000056097.15	1627
ENSG00000056277.15	181
ENSG00000056291.17	0
ENSG00000056487.15	0
ENSG00000056558.10	0
ENSG00000056586.15	278
ENSG00000056736.9	0
