gene	SRX118286_cnt	SRX118292_cnt	SRX118288_cnt	SRX118294_cnt
ENSG00000102924.11	0	0	0	0
ENSG00000168393.12	158	652	244	603
ENSG00000124116.18	8	20	16	39
ENSG00000134851.12	199	579	254	381
ENSG00000047457.13	7	5	10	1
ENSG00000170647.3	0	0	0	1
ENSG00000196459.13	3	35	13	28
ENSG00000156050.8	9	43	14	16
ENSG00000159899.14	5	45	8	30
ENSG00000212807.1	0	0	0	0
ENSG00000168056.15	79	301	105	147
ENSG00000148688.13	82	386	89	159
ENSG00000155622.6	0	0	0	0
ENSG00000178363.4	0	0	0	0
ENSG00000167261.13	0	0	0	0
ENSG00000105143.12	0	0	0	0
ENSG00000186714.12	0	5	0	9
ENSG00000258555.6	97	378	97	320
ENSG00000099875.14	51	133	65	85
ENSG00000166743.9	0	0	0	0
ENSG00000108950.11	5	0	3	0
ENSG00000178449.8	66	412	88	221
ENSG00000141741.11	23	97	50	74
ENSG00000131018.22	103	199	109	84
ENSG00000133878.8	0	0	0	0
ENSG00000172901.19	0	2	0	0
ENSG00000154822.16	31	88	29	59
ENSG00000258677.2	95	459	155	177
ENSG00000213999.15	1	24	3	3
ENSG00000171119.2	0	0	1	0
ENSG00000261667.1	0	0	0	0
ENSG00000171747.8	0	0	0	0
ENSG00000186532.11	37	189	44	111
ENSG00000130513.6	273	232	614	306
ENSG00000203666.12	11	12	12	22
ENSG00000204592.8	8	31	16	47
ENSG00000172171.10	43	166	46	88
ENSG00000145494.11	248	844	314	859
ENSG00000221867.8	5	0	7	0
ENSG00000100425.18	46	129	46	138
ENSG00000279317.1	0	0	0	0
ENSG00000196116.7	66	122	59	77
ENSG00000115350.11	44	173	88	161
ENSG00000162636.15	32	56	25	16
ENSG00000278883.1	0	0	0	0
ENSG00000172717.15	0	0	0	0
ENSG00000175756.13	326	1224	476	1109
ENSG00000180155.18	0	0	0	0
ENSG00000244623.1	0	0	0	0
ENSG00000137841.11	0	0	0	19
ENSG00000168806.7	52	106	61	109
ENSG00000124641.15	70	156	67	109
ENSG00000176022.4	26	59	41	40
ENSG00000145919.10	60	242	70	180
ENSG00000188993.3	0	4	0	0
ENSG00000269469.1	0	0	0	0
ENSG00000119431.9	8	35	6	5
ENSG00000196531.10	583	2373	661	1046
ENSG00000100593.17	3	7	3	7
ENSG00000069943.9	14	61	10	1
ENSG00000249884.8	197	464	205	282
ENSG00000160593.17	0	0	0	0
ENSG00000178828.6	0	0	0	0
ENSG00000198910.12	11	54	18	17
ENSG00000101901.11	99	359	147	187
ENSG00000106868.16	18	30	25	33
ENSG00000158352.15	0	0	0	0
ENSG00000183576.12	151	525	192	380
ENSG00000138336.8	8	26	5	20
ENSG00000164823.9	61	252	86	211
ENSG00000197912.13	56	180	75	188
ENSG00000109501.13	112	342	155	252
ENSG00000176787.2	0	0	0	0
ENSG00000160117.14	1	22	4	1
ENSG00000125863.17	215	939	256	528
ENSG00000132017.10	54	266	72	197
ENSG00000137054.15	195	440	131	137
ENSG00000258429.1	20	67	27	49
ENSG00000226660.2	0	0	0	0
ENSG00000137171.14	10	39	23	17
ENSG00000119547.5	2	6	5	21
ENSG00000276085.1	0	0	0	0
ENSG00000178531.5	22	64	48	80
ENSG00000118514.13	0	0	0	0
ENSG00000171121.16	0	0	1	0
ENSG00000133103.16	52	271	53	135
ENSG00000189431.7	0	0	0	0
ENSG00000099949.18	22	82	37	86
ENSG00000211647.1	0	0	0	0
ENSG00000178074.5	28	123	42	111
ENSG00000013275.7	668	1684	851	1483
ENSG00000105854.12	213	671	250	485
ENSG00000184497.12	36	93	42	90
ENSG00000204442.3	6	15	16	2
ENSG00000142959.4	0	0	0	0
ENSG00000186487.17	1	0	0	0
ENSG00000242441.7	1	0	0	0
ENSG00000116711.9	21	124	19	77
ENSG00000156983.15	22	143	42	93
ENSG00000089157.15	235	855	252	473
ENSG00000136750.11	0	0	0	0
ENSG00000198952.8	116	351	156	254
ENSG00000161955.16	5	1	4	0
ENSG00000101126.15	339	1376	318	750
ENSG00000137767.13	149	638	141	497
ENSG00000073605.18	0	0	1	0
ENSG00000213988.9	0	3	1	1
ENSG00000111224.13	11	31	8	13
ENSG00000169727.12	276	1064	461	828
ENSG00000135052.16	108	250	115	216
ENSG00000085741.12	1	0	0	0
ENSG00000229894.4	0	2	0	0
ENSG00000100429.17	8	31	7	26
ENSG00000161960.14	769	3421	1033	2609
ENSG00000114656.10	1	1	1	0
ENSG00000139644.12	1076	3510	1314	2887
ENSG00000071539.13	165	796	187	396
ENSG00000176407.17	141	417	162	206
ENSG00000111536.4	0	0	0	0
ENSG00000100036.12	10	28	20	20
ENSG00000023697.12	27	85	41	100
ENSG00000173039.18	83	380	149	257
ENSG00000151650.7	0	0	0	0
ENSG00000145996.11	85	272	87	99
ENSG00000211866.1	0	0	0	0
ENSG00000169057.20	51	185	51	132
ENSG00000110429.13	86	288	83	178
ENSG00000183696.13	86	182	131	199
ENSG00000101391.20	109	560	148	323
ENSG00000003147.17	0	1	1	0
ENSG00000106511.5	0	0	0	0
ENSG00000139209.15	0	0	0	0
ENSG00000103426.12	3	21	7	19
ENSG00000155463.12	238	1078	228	600
ENSG00000177370.4	8	27	1	0
ENSG00000100220.11	396	1431	445	629
ENSG00000063180.8	0	2	0	0
ENSG00000174652.17	23	80	28	87
ENSG00000281137.1	0	0	0	0
ENSG00000158552.12	7	57	20	82
ENSG00000022567.9	12	71	20	29
ENSG00000178307.9	48	132	57	87
ENSG00000084734.8	0	0	1	0
ENSG00000067992.12	75	152	81	97
ENSG00000149658.17	127	445	164	235
ENSG00000122787.14	0	0	0	0
ENSG00000129071.9	44	130	57	93
ENSG00000076706.15	45	591	51	334
ENSG00000171126.7	1	0	0	0
ENSG00000132681.16	0	1	0	0
ENSG00000197168.11	0	1	0	0
ENSG00000089060.11	32	156	79	164
ENSG00000105371.8	0	0	0	0
ENSG00000176782.2	0	0	0	0
ENSG00000198833.6	55	180	59	79
ENSG00000158985.13	33	114	34	42
ENSG00000143520.6	0	0	0	0
ENSG00000186376.14	5	39	2	9
ENSG00000183324.10	0	0	0	0
ENSG00000196544.7	14	25	6	34
ENSG00000198846.5	4	11	2	6
ENSG00000175600.15	14	70	20	19
ENSG00000187860.10	0	3	0	0
ENSG00000119718.10	146	695	177	533
ENSG00000131374.14	100	618	148	274
ENSG00000166069.13	0	0	0	0
ENSG00000122386.10	15	33	18	14
ENSG00000105767.2	19	31	19	46
ENSG00000180957.17	200	713	185	324
ENSG00000180787.5	1	6	2	0
ENSG00000196338.12	1	0	0	2
ENSG00000129657.14	218	970	241	666
ENSG00000122378.13	0	0	0	0
ENSG00000134809.8	109	416	160	301
ENSG00000204118.1	0	1	0	1
ENSG00000112077.15	0	0	0	0
ENSG00000250799.9	0	0	0	0
ENSG00000163319.10	103	371	104	177
ENSG00000166862.6	0	0	1	0
ENSG00000215375.6	3	0	6	3
