gene	SRX118285_cnt	SRX118291_cnt	SRX118287_cnt	SRX118293_cnt
ENSG00000107831.12	0	0	0	0
ENSG00000151014.5	66	47	58	58
ENSG00000179335.18	348	252	279	145
ENSG00000104237.7	22	28	12	18
ENSG00000164122.8	0	0	0	0
ENSG00000101346.12	460	384	420	341
ENSG00000197372.9	147	102	195	71
ENSG00000176788.8	299	208	238	129
ENSG00000198870.7	8	2	6	2
ENSG00000175395.15	73	44	76	45
ENSG00000120210.6	0	0	0	0
ENSG00000107719.8	8	20	11	13
ENSG00000179407.3	0	0	0	0
ENSG00000163517.14	103	58	79	65
ENSG00000172936.12	196	179	154	89
ENSG00000132842.13	435	581	426	364
ENSG00000242550.5	17	14	23	10
ENSG00000205754.10	7	15	5	7
ENSG00000171557.16	0	0	0	0
ENSG00000141469.16	89	30	69	19
ENSG00000175265.17	6	6	3	0
ENSG00000077157.21	8	18	13	9
ENSG00000100567.12	6512	7363	5486	3841
ENSG00000165507.8	17	8	15	7
ENSG00000154654.14	15	17	14	2
ENSG00000005073.5	87	46	97	25
ENSG00000165995.18	0	0	0	0
ENSG00000122359.17	2291	3427	1859	2629
ENSG00000175376.8	127	137	94	105
ENSG00000085063.14	2069	2194	2216	1940
ENSG00000185040.13	0	0	0	0
ENSG00000158158.11	115	133	110	86
ENSG00000183317.16	7	6	6	4
ENSG00000125952.18	890	843	729	572
ENSG00000163563.7	0	0	0	0
ENSG00000173113.6	841	750	803	642
ENSG00000152256.13	193	156	200	68
ENSG00000170915.8	19	1	26	12
ENSG00000197497.10	11	18	10	32
ENSG00000118705.16	7190	6842	7029	4854
ENSG00000170266.15	399	483	366	417
ENSG00000184454.6	0	0	0	0
ENSG00000108773.10	0	0	0	0
ENSG00000139921.12	2171	1733	2268	998
ENSG00000146904.8	4	15	2	8
ENSG00000157890.17	0	0	0	0
ENSG00000187715.13	0	0	0	0
ENSG00000154269.14	0	3	0	6
ENSG00000198930.12	2	0	0	0
ENSG00000168569.7	163	131	137	94
ENSG00000106682.14	511	350	412	243
ENSG00000172339.9	100	100	85	67
ENSG00000166153.16	18	29	19	12
ENSG00000072133.10	247	259	282	198
ENSG00000156564.8	0	0	1	0
ENSG00000062725.9	396	424	446	278
ENSG00000204335.3	7	2	9	0
ENSG00000183313.4	0	0	0	0
ENSG00000148814.17	35	28	33	17
ENSG00000111704.10	0	0	0	0
ENSG00000117586.10	3	0	5	1
ENSG00000105479.15	4	0	4	3
ENSG00000092929.11	46	37	36	33
ENSG00000008282.8	1385	1044	1377	971
ENSG00000162971.10	108	125	95	98
ENSG00000003147.17	7	1	6	0
ENSG00000243130.7	0	0	0	0
ENSG00000257218.5	125	115	103	79
ENSG00000126953.5	52	73	43	35
ENSG00000132554.19	0	1	3	0
ENSG00000165669.13	161	229	155	137
ENSG00000142973.12	0	0	0	0
ENSG00000161040.16	10	4	16	3
ENSG00000110887.7	0	0	0	0
ENSG00000181754.6	22	14	29	14
ENSG00000186193.8	162	144	137	71
ENSG00000163811.11	1145	1054	731	445
ENSG00000095787.21	682	711	604	495
ENSG00000172803.17	2	0	0	0
ENSG00000130956.13	160	222	146	137
ENSG00000145692.14	0	0	0	0
ENSG00000119042.16	35	41	49	53
ENSG00000270181.1	414	456	424	290
ENSG00000137076.19	2765	2806	2600	2286
ENSG00000115484.14	3207	4386	2811	3171
ENSG00000164256.10	3	3	3	1
ENSG00000184949.15	15	5	18	10
ENSG00000228278.3	0	0	0	0
ENSG00000223802.7	45	33	36	25
ENSG00000122034.13	1055	1289	905	1335
ENSG00000198146.4	552	444	530	244
ENSG00000132874.14	0	0	0	0
ENSG00000170004.16	1522	1678	1453	1259
ENSG00000112115.5	0	0	0	0
ENSG00000230031.10	0	0	0	0
ENSG00000255378.1	0	0	0	0
ENSG00000176200.1	0	0	0	0
ENSG00000185863.7	0	0	0	0
ENSG00000236543.2	0	0	0	0
ENSG00000280236.2	0	0	0	0
ENSG00000139163.15	182	283	210	201
ENSG00000169967.16	147	124	150	72
ENSG00000100379.17	124	96	87	62
ENSG00000133687.15	313	386	385	324
ENSG00000211904.2	0	0	0	0
ENSG00000165997.4	31	19	36	8
ENSG00000184394.1	0	0	0	0
ENSG00000197457.9	65	47	63	34
ENSG00000050405.13	252	280	311	237
ENSG00000182459.4	0	1	3	0
ENSG00000105559.11	15	4	3	6
ENSG00000196659.9	19	19	30	15
ENSG00000062598.17	337	348	291	273
ENSG00000173915.13	343	552	310	266
ENSG00000204033.9	0	0	0	0
ENSG00000211970.3	0	0	0	0
ENSG00000250305.8	0	0	0	0
ENSG00000205339.9	1755	2733	2043	2011
ENSG00000166896.7	17	23	12	6
ENSG00000274791.1	0	0	0	0
ENSG00000123594.5	0	0	0	0
ENSG00000109854.13	453	402	505	335
ENSG00000283205.1	0	0	1	0
ENSG00000175305.17	342	209	295	153
ENSG00000092439.13	522	564	487	349
ENSG00000261732.1	20	24	12	14
ENSG00000156222.11	0	1	0	0
ENSG00000115234.10	1196	1264	1033	1002
ENSG00000141027.20	789	908	716	656
ENSG00000165527.6	1100	790	971	549
ENSG00000108950.11	10	0	11	1
ENSG00000185813.10	191	161	135	102
ENSG00000138764.13	104	111	258	226
ENSG00000112837.16	0	0	0	0
ENSG00000099337.4	25	16	16	8
ENSG00000106415.12	93	69	161	68
ENSG00000106327.12	9	6	10	3
ENSG00000171984.14	28	21	23	8
ENSG00000172935.8	0	0	1	0
ENSG00000186160.4	0	0	0	0
ENSG00000205302.6	614	1109	563	622
ENSG00000115266.11	5	1	6	5
ENSG00000177548.12	157	85	96	72
ENSG00000204961.6	53	59	55	42
ENSG00000111780.8	455	472	381	349
ENSG00000170748.6	0	0	1	0
ENSG00000198720.12	66	64	68	37
ENSG00000106236.3	0	0	0	0
ENSG00000139515.5	0	0	0	0
ENSG00000170322.14	545	515	428	327
ENSG00000275663.1	0	0	0	0
ENSG00000184995.7	53	38	63	19
ENSG00000137504.13	326	193	287	110
ENSG00000148541.12	2	2	3	0
ENSG00000100577.18	129	151	119	103
ENSG00000198346.10	32	26	34	35
ENSG00000156026.14	80	125	88	82
ENSG00000171124.12	0	1	0	0
ENSG00000005844.17	0	0	1	0
ENSG00000204271.11	46	26	32	28
ENSG00000182325.10	556	578	348	354
ENSG00000160007.17	854	882	877	834
ENSG00000181562.3	0	0	0	0
ENSG00000131558.14	447	570	517	540
ENSG00000176142.12	419	361	377	210
ENSG00000143801.16	315	202	246	129
ENSG00000100335.13	235	220	197	133
ENSG00000178773.14	99	88	67	29
ENSG00000149294.16	0	0	1	0
ENSG00000198369.9	244	258	270	195
ENSG00000105298.13	268	183	224	112
ENSG00000167800.9	0	1	0	0
ENSG00000121104.7	62	82	70	43
ENSG00000102898.11	357	308	282	239
ENSG00000163374.19	528	458	370	335
ENSG00000106125.14	51	48	52	31
ENSG00000107518.16	0	0	0	0
ENSG00000171942.4	0	0	0	0
ENSG00000103024.7	194	146	174	98
ENSG00000162650.16	52	25	30	16
ENSG00000187550.8	0	1	0	0
ENSG00000006116.3	0	0	0	0
ENSG00000146587.17	149	123	157	76
ENSG00000197580.11	10	8	6	2
ENSG00000211867.1	0	0	0	0
ENSG00000223572.9	3	3	2	6
ENSG00000105855.9	68	37	86	32
ENSG00000108342.12	2	1	0	0
ENSG00000147570.9	0	0	0	0
ENSG00000185085.2	409	513	338	349
ENSG00000081248.10	1	1	0	1
ENSG00000165424.6	130	108	102	52
ENSG00000185585.19	12	19	12	22
ENSG00000133574.9	0	0	0	0
ENSG00000131351.14	312	291	247	174
ENSG00000097096.8	18	32	24	15
ENSG00000130675.14	9	6	11	2
ENSG00000196660.10	0	0	0	0
ENSG00000170442.11	10	5	10	7
ENSG00000170613.4	0	0	0	0
ENSG00000250644.3	2629	2178	2523	1751
ENSG00000198520.10	2	4	10	0
ENSG00000277726.4	742	699	652	426
ENSG00000225180.7	0	0	0	0
ENSG00000205274.3	0	0	0	0
ENSG00000169059.12	0	0	0	0
ENSG00000100219.16	394	449	327	306
ENSG00000114656.10	3	2	2	2
ENSG00000105679.8	0	1	0	0
ENSG00000186889.9	24	25	27	24
ENSG00000172175.12	507	533	435	316
ENSG00000185090.14	236	153	202	108
ENSG00000196642.17	911	829	763	605
ENSG00000169302.14	9	5	8	0
ENSG00000118160.13	1	0	0	0
ENSG00000149679.11	242	229	172	148
ENSG00000196459.13	10	30	26	33
ENSG00000215305.9	530	493	463	369
ENSG00000116544.11	1	0	0	0
ENSG00000066468.21	0	2	0	0
ENSG00000180264.10	0	0	0	0
ENSG00000156875.13	355	314	368	216
ENSG00000182329.11	0	0	0	0
ENSG00000117151.12	110	149	158	129
ENSG00000106089.11	644	482	507	318
ENSG00000205090.8	5	4	6	1
ENSG00000237452.2	0	2	0	0
ENSG00000160471.12	0	0	0	0
ENSG00000160271.14	402	257	362	244
ENSG00000131061.13	81	56	58	36
ENSG00000242221.8	0	0	0	0
ENSG00000081059.19	30	60	24	31
ENSG00000140830.8	75	80	66	60
ENSG00000168763.15	182	186	172	174
ENSG00000007968.6	35	15	40	19
ENSG00000164253.13	135	177	146	146
ENSG00000197498.12	365	340	216	146
ENSG00000145041.15	504	691	532	381
ENSG00000122741.15	114	147	91	108
ENSG00000261210.6	0	0	0	0
ENSG00000158874.11	1	0	0	0
ENSG00000091879.13	0	0	0	0
ENSG00000136110.12	0	0	0	0
ENSG00000162374.16	0	0	0	0
ENSG00000166069.13	0	0	0	0
ENSG00000226174.6	28	21	25	28
ENSG00000146729.9	598	646	591	401
ENSG00000102802.9	0	0	0	0
ENSG00000141012.12	152	119	127	99
ENSG00000283088.1	195	240	191	183
ENSG00000130997.16	11	10	16	0
ENSG00000147119.3	94	77	105	60
ENSG00000109536.11	15	25	9	15
ENSG00000113615.12	367	454	328	240
ENSG00000109255.11	62	155	49	105
ENSG00000197860.9	8	22	9	13
ENSG00000164169.12	109	106	104	95
ENSG00000079805.16	1629	1764	1361	1169
ENSG00000151876.12	54	69	59	37
ENSG00000015475.18	195	216	153	156
ENSG00000181856.14	4	0	0	3
ENSG00000143158.10	326	421	290	213
ENSG00000173641.17	0	0	0	0
ENSG00000283619.1	17	36	11	22
ENSG00000183775.10	3	2	0	0
ENSG00000097046.12	225	209	217	128
ENSG00000147854.16	540	677	562	452
ENSG00000164749.11	22	25	40	3
ENSG00000179002.5	0	0	0	0
ENSG00000164736.5	0	0	0	0
ENSG00000115758.12	5959	14264	5880	11604
ENSG00000147262.3	0	0	1	0
ENSG00000112992.16	154	264	157	167
ENSG00000241945.7	0	0	0	0
ENSG00000136986.9	648	852	697	597
ENSG00000221938.3	0	0	0	0
ENSG00000011275.18	489	456	423	320
ENSG00000162729.13	341	208	295	150
ENSG00000182180.13	1296	1544	1203	1235
ENSG00000140332.15	372	371	336	309
ENSG00000153936.16	144	153	141	100
ENSG00000166927.12	0	0	0	0
ENSG00000100139.13	268	258	226	236
ENSG00000103769.9	567	676	504	420
ENSG00000007047.14	177	179	155	127
ENSG00000139323.13	244	398	227	284
ENSG00000157315.4	5	0	2	2
ENSG00000279152.1	0	0	1	0
ENSG00000151914.19	1388	875	1891	745
ENSG00000203733.5	0	0	0	0
ENSG00000135074.15	373	525	358	385
ENSG00000232216.1	0	0	0	0
ENSG00000099814.15	835	474	629	375
ENSG00000133111.3	22	13	19	14
ENSG00000178074.5	142	180	128	91
ENSG00000198947.15	5	22	7	15
ENSG00000149016.15	312	268	264	203
ENSG00000205413.7	459	78	713	51
