gene_id	count
ENSG00000001084.10	13
ENSG00000001460.17	12
ENSG00000001629.9	19
ENSG00000001631.15	7
ENSG00000002822.15	21
ENSG00000002919.14	9
ENSG00000003393.14	24
ENSG00000004766.15	10
ENSG00000004779.9	22
ENSG00000004866.19	10
ENSG00000004897.11	18
ENSG00000004975.11	18
ENSG00000005075.15	22
ENSG00000005100.12	16
ENSG00000005156.11	7
ENSG00000005189.19	8
ENSG00000005238.19	18
ENSG00000005339.14	16
ENSG00000005483.20	29
ENSG00000006118.14	8
ENSG00000006125.16	14
ENSG00000006451.7	26
ENSG00000006468.13	14
ENSG00000006534.15	8
ENSG00000006625.17	15
ENSG00000006652.13	13
ENSG00000006712.14	8
ENSG00000006715.15	13
ENSG00000007341.18	13
ENSG00000007376.7	11
ENSG00000007402.11	11
ENSG00000007516.13	12
ENSG00000007541.16	11
ENSG00000008130.15	39
ENSG00000008277.14	9
ENSG00000008283.15	7
ENSG00000008294.20	21
ENSG00000008300.15	12
ENSG00000008323.15	8
ENSG00000008405.11	9
ENSG00000008513.14	20
ENSG00000008838.18	17
ENSG00000008853.16	14
ENSG00000009780.15	14
ENSG00000009844.15	18
ENSG00000010072.15	7
ENSG00000010219.13	9
ENSG00000010318.20	10
ENSG00000010361.13	19
ENSG00000010626.14	10
ENSG00000011009.10	11
ENSG00000011021.21	7
ENSG00000011028.13	31
ENSG00000011143.16	15
ENSG00000011243.17	7
ENSG00000011258.15	15
ENSG00000011295.15	15
ENSG00000011376.9	11
ENSG00000011426.10	7
ENSG00000011566.14	9
ENSG00000011638.10	6
ENSG00000012048.20	24
ENSG00000012171.18	8
ENSG00000012660.13	16
ENSG00000012963.14	15
ENSG00000012983.11	29
ENSG00000013375.15	33
ENSG00000013441.15	15
ENSG00000013561.17	26
ENSG00000013583.8	39
ENSG00000013588.6	27
ENSG00000015475.18	11
ENSG00000015479.17	30
ENSG00000016864.17	7
ENSG00000017260.19	10
ENSG00000018610.13	24
ENSG00000019144.17	18
ENSG00000020129.15	6
ENSG00000020256.19	19
ENSG00000020922.12	14
ENSG00000021762.19	14
ENSG00000022267.16	28
ENSG00000022976.15	8
ENSG00000023330.14	22
ENSG00000023697.12	21
ENSG00000023892.10	6
ENSG00000024862.17	29
ENSG00000026508.16	26
ENSG00000026559.13	6
ENSG00000026652.13	6
ENSG00000026950.16	9
ENSG00000027001.9	49
ENSG00000027847.13	7
ENSG00000028203.17	15
ENSG00000028310.17	12
ENSG00000028528.14	10
ENSG00000029363.15	21
ENSG00000030110.12	7
ENSG00000031003.10	12
ENSG00000031691.6	17
ENSG00000031823.14	9
ENSG00000033100.15	5
ENSG00000035141.7	14
ENSG00000035403.16	20
ENSG00000035928.14	11
ENSG00000036257.12	14
ENSG00000037749.11	6
ENSG00000037757.13	16
ENSG00000038002.8	16
ENSG00000038274.16	55
ENSG00000039123.15	24
ENSG00000039523.18	22
ENSG00000040275.16	42
ENSG00000040341.17	16
ENSG00000040487.12	6
ENSG00000042429.10	14
ENSG00000043514.15	20
ENSG00000044459.14	7
ENSG00000046604.12	33
ENSG00000047249.16	8
ENSG00000047579.19	20
ENSG00000047621.11	14
ENSG00000047634.14	13
ENSG00000048028.11	29
ENSG00000048162.20	44
ENSG00000048392.11	12
ENSG00000048991.16	26
ENSG00000049167.13	16
ENSG00000049449.8	32
ENSG00000049541.10	13
ENSG00000049618.22	23
ENSG00000049759.17	24
