




Analysis Type:	PANTHER Overrepresentation Test (Released 20181113)
Annotation Version and Release Date:	GO Ontology database  Released 2019-01-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	8749
GO biological process complete	Homo sapiens - REFLIST (20996)	upload_1 (694)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
mRNA polyadenylation (GO:0006378)	30	9	.99	+	9.08	2.62E-02
RNA polyadenylation (GO:0043631)	32	9	1.06	+	8.51	4.09E-02
tRNA aminoacylation for protein translation (GO:0006418)	46	11	1.52	+	7.23	1.40E-02
tRNA aminoacylation (GO:0043039)	49	11	1.62	+	6.79	2.39E-02
amino acid activation (GO:0043038)	50	11	1.65	+	6.66	2.83E-02
regulation of mitotic sister chromatid segregation (GO:0033047)	72	13	2.38	+	5.46	2.56E-02
gene silencing by RNA (GO:0031047)	86	14	2.84	+	4.93	3.15E-02
sister chromatid segregation (GO:0000819)	138	19	4.56	+	4.17	6.08E-03
DNA integrity checkpoint (GO:0031570)	147	20	4.86	+	4.12	3.69E-03
DNA damage checkpoint (GO:0000077)	135	18	4.46	+	4.03	1.80E-02
viral gene expression (GO:0019080)	128	17	4.23	+	4.02	3.60E-02
cell cycle checkpoint (GO:0000075)	198	26	6.54	+	3.97	1.35E-04
mRNA splicing, via spliceosome (GO:0000398)	291	37	9.62	+	3.85	2.82E-07
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	291	37	9.62	+	3.85	2.82E-07
RNA splicing, via transesterification reactions (GO:0000375)	294	37	9.72	+	3.81	3.68E-07
chromosome segregation (GO:0007059)	264	32	8.73	+	3.67	1.78E-05
mitotic cell cycle checkpoint (GO:0007093)	159	19	5.26	+	3.62	4.06E-02
regulation of signal transduction by p53 class mediator (GO:1901796)	180	21	5.95	+	3.53	1.83E-02
positive regulation of chromosome organization (GO:2001252)	172	20	5.69	+	3.52	3.34E-02
tRNA metabolic process (GO:0006399)	195	22	6.45	+	3.41	1.74E-02
nuclear-transcribed mRNA catabolic process (GO:0000956)	195	22	6.45	+	3.41	1.74E-02
RNA splicing (GO:0008380)	391	44	12.92	+	3.40	1.53E-07
mRNA metabolic process (GO:0016071)	683	74	22.58	+	3.28	8.29E-14
mRNA processing (GO:0006397)	471	51	15.57	+	3.28	1.34E-08
mitotic cell cycle process (GO:1903047)	580	62	19.17	+	3.23	7.83E-11
mitotic cell cycle (GO:0000278)	677	71	22.38	+	3.17	1.91E-12
translation (GO:0006412)	395	41	13.06	+	3.14	6.98E-06
meiotic cell cycle (GO:0051321)	222	23	7.34	+	3.13	3.82E-02
RNA catabolic process (GO:0006401)	242	25	8.00	+	3.13	1.55E-02
peptide biosynthetic process (GO:0043043)	418	43	13.82	+	3.11	3.45E-06
cell division (GO:0051301)	486	48	16.06	+	2.99	1.15E-06
nuclear division (GO:0000280)	275	27	9.09	+	2.97	1.48E-02
