gene_id	count
ENSG00000000003.14	954
ENSG00000000460.16	168
ENSG00000001036.13	49
ENSG00000001084.10	39
ENSG00000001167.14	314
ENSG00000001460.17	140
ENSG00000001461.16	207
ENSG00000001497.16	1002
ENSG00000001629.9	157
ENSG00000001630.15	887
ENSG00000001631.15	403
ENSG00000002016.17	55
ENSG00000002549.12	370
ENSG00000002822.15	128
ENSG00000002834.17	969
ENSG00000003056.7	134
ENSG00000003249.13	25
ENSG00000003393.14	183
ENSG00000003402.19	258
ENSG00000003436.14	1330
ENSG00000003509.15	129
ENSG00000003756.16	315
ENSG00000003989.16	37
ENSG00000004059.10	662
ENSG00000004455.16	157
ENSG00000004478.7	914
ENSG00000004487.15	1470
ENSG00000004534.14	145
ENSG00000004700.15	248
ENSG00000004766.15	429
ENSG00000004779.9	810
ENSG00000004866.19	239
ENSG00000004897.11	242
ENSG00000004975.11	292
ENSG00000005020.12	279
ENSG00000005075.15	24
ENSG00000005100.12	11
ENSG00000005156.11	130
ENSG00000005175.9	723
ENSG00000005189.19	72
ENSG00000005194.14	53
ENSG00000005302.17	23
ENSG00000005339.14	344
ENSG00000005448.16	297
ENSG00000005469.11	323
ENSG00000005483.20	348
ENSG00000005486.16	141
ENSG00000005700.14	69
ENSG00000005801.16	305
ENSG00000005810.17	930
ENSG00000005812.10	467
ENSG00000005884.17	1713
ENSG00000005889.15	683
ENSG00000005893.15	4559
ENSG00000005961.17	21
ENSG00000006007.11	192
ENSG00000006042.11	122
ENSG00000006062.13	82
ENSG00000006118.14	53
ENSG00000006125.16	395
ENSG00000006194.9	134
ENSG00000006282.20	38
ENSG00000006327.13	353
ENSG00000006432.15	18
ENSG00000006459.10	40
ENSG00000006576.16	508
ENSG00000006625.17	238
ENSG00000006634.7	252
ENSG00000006652.13	92
ENSG00000006704.10	228
ENSG00000006712.14	524
ENSG00000006715.15	308
ENSG00000006747.14	44
ENSG00000007047.14	41
ENSG00000007168.12	891
ENSG00000007255.10	66
ENSG00000007341.18	124
ENSG00000007372.20	83
ENSG00000007376.7	98
ENSG00000007384.15	16
ENSG00000007392.16	287
ENSG00000007516.13	45
ENSG00000007520.3	78
ENSG00000007541.16	37
ENSG00000007866.18	44
ENSG00000007923.15	578
ENSG00000007944.14	47
ENSG00000007968.6	24
ENSG00000008018.8	2501
ENSG00000008083.13	106
ENSG00000008086.11	60
ENSG00000008130.15	39
ENSG00000008256.15	174
ENSG00000008277.14	95
ENSG00000008294.20	559
ENSG00000008300.15	12
ENSG00000008382.15	30
ENSG00000008394.12	2423
ENSG00000008513.14	717
ENSG00000008735.13	26
ENSG00000008838.18	290
ENSG00000008869.11	353
ENSG00000008952.16	425
ENSG00000008988.9	83
ENSG00000009307.15	1631
ENSG00000009335.17	372
ENSG00000009844.15	498
ENSG00000010072.15	201
ENSG00000010165.19	988
ENSG00000010219.13	48
ENSG00000010244.17	1456
ENSG00000010256.10	181
ENSG00000010270.13	70
ENSG00000010278.12	3260
ENSG00000010292.12	333
ENSG00000010322.15	272
ENSG00000010361.13	41
ENSG00000010404.17	51
ENSG00000010810.17	113
ENSG00000011021.21	118
ENSG00000011143.16	156
ENSG00000011198.7	115
ENSG00000011201.11	64
ENSG00000011243.17	233
ENSG00000011260.13	944
ENSG00000011275.18	477
ENSG00000011295.15	97
ENSG00000011304.18	3146
ENSG00000011405.13	514
ENSG00000011422.11	159
ENSG00000011426.10	5742
ENSG00000011451.17	96
ENSG00000011454.16	777
ENSG00000011478.11	63
ENSG00000011523.13	21
ENSG00000011566.14	98
ENSG00000011638.10	106
ENSG00000012048.20	300
ENSG00000012061.15	38
ENSG00000012171.18	31
ENSG00000012211.12	18
ENSG00000012232.8	168
ENSG00000012822.15	89
ENSG00000012963.14	151
ENSG00000012983.11	62
ENSG00000013016.15	48
ENSG00000013306.15	938
ENSG00000013364.18	177
ENSG00000013374.15	185
ENSG00000013375.15	733
ENSG00000013392.7	37
ENSG00000013441.15	131
ENSG00000013503.9	799
ENSG00000013561.17	183
ENSG00000013563.13	81
ENSG00000013573.16	21
ENSG00000013588.6	248
ENSG00000013619.13	41
ENSG00000013810.18	725
ENSG00000014164.6	87
ENSG00000014216.15	315
ENSG00000014641.17	4797
ENSG00000014824.13	412
ENSG00000015171.18	248
ENSG00000015475.18	119
ENSG00000015479.17	2824
ENSG00000016864.17	24
ENSG00000017260.19	158
ENSG00000017797.11	776
ENSG00000018189.12	64
ENSG00000018236.14	124
ENSG00000018408.14	69
ENSG00000018510.13	101
ENSG00000018699.11	342
ENSG00000019144.17	93
ENSG00000019485.12	26
ENSG00000019549.8	94
ENSG00000020129.15	89
ENSG00000020577.13	494
ENSG00000021300.13	22
ENSG00000021355.12	130
ENSG00000021574.11	305
ENSG00000021762.19	58
ENSG00000021826.14	184
ENSG00000022267.16	418
ENSG00000022567.9	22
ENSG00000022840.15	184
ENSG00000023171.15	466
ENSG00000023191.16	155
ENSG00000023228.13	2926
ENSG00000023287.12	381
ENSG00000023318.7	542
ENSG00000023330.14	292
ENSG00000023516.8	427
ENSG00000023572.8	177
ENSG00000023697.12	40
ENSG00000023734.10	870
ENSG00000024526.16	179
ENSG00000024862.17	183
ENSG00000025293.16	118
ENSG00000025708.13	38
ENSG00000025770.18	26
ENSG00000025772.7	1536
ENSG00000025796.13	629
ENSG00000025800.13	768
ENSG00000026025.14	5832
ENSG00000026103.20	25
ENSG00000026508.16	1684
ENSG00000026559.13	59
ENSG00000026950.16	40
ENSG00000027075.13	182
ENSG00000027697.13	292
ENSG00000028203.17	76
ENSG00000028310.17	215
ENSG00000028528.14	755
ENSG00000028839.9	142
ENSG00000029363.15	455
ENSG00000029364.11	1629
ENSG00000029725.16	88
ENSG00000030066.13	787
ENSG00000030110.12	26
ENSG00000030582.16	3806
ENSG00000031003.10	87
ENSG00000031081.10	179
ENSG00000031698.12	1514
ENSG00000031823.14	294
ENSG00000032219.18	747
ENSG00000033011.11	34
ENSG00000033170.16	520
ENSG00000033800.13	28
ENSG00000034053.14	16
ENSG00000034152.18	306
ENSG00000034510.5	8081
ENSG00000034533.11	50
ENSG00000034693.14	304
ENSG00000035141.7	79
ENSG00000035403.16	5855
ENSG00000035499.12	35
ENSG00000035862.12	1429
ENSG00000035928.14	546
ENSG00000036257.12	217
ENSG00000036549.12	33
ENSG00000037637.10	38
ENSG00000037749.11	179
ENSG00000037757.13	60
ENSG00000037897.16	58
ENSG00000038002.8	265
ENSG00000038274.16	1451
ENSG00000038295.7	130
ENSG00000038382.17	639
ENSG00000039068.18	24
ENSG00000039123.15	1158
ENSG00000039523.18	114
ENSG00000039560.13	148
ENSG00000039650.10	132
ENSG00000040199.18	62
ENSG00000040275.16	1337
ENSG00000040341.17	225
ENSG00000040487.12	43
ENSG00000040531.14	174
ENSG00000040608.13	37
ENSG00000040633.12	226
ENSG00000040933.15	164
ENSG00000041357.15	2970
ENSG00000041982.15	934
ENSG00000041988.15	90
ENSG00000042088.13	40
ENSG00000042317.16	165
ENSG00000042429.10	611
ENSG00000042445.13	665
ENSG00000042493.15	550
ENSG00000043143.20	103
ENSG00000043514.15	131
ENSG00000046647.13	34
ENSG00000047056.14	45
ENSG00000047188.15	363
ENSG00000047230.14	25
ENSG00000047249.16	101
ENSG00000047315.14	372
ENSG00000047346.12	204
ENSG00000047410.13	57
ENSG00000047578.12	30
ENSG00000047634.14	71
ENSG00000047849.21	1777
ENSG00000048028.11	221
ENSG00000048052.21	70
ENSG00000048140.17	97
ENSG00000048342.15	79
ENSG00000048471.13	74
ENSG00000048828.16	290
ENSG00000048991.16	219
ENSG00000049130.13	63
ENSG00000049167.13	54
ENSG00000049245.12	542
ENSG00000049246.14	36
ENSG00000049323.15	1067
ENSG00000049618.22	261
ENSG00000049759.17	3669
ENSG00000049860.13	374
ENSG00000049883.14	127
ENSG00000050344.8	1087
ENSG00000050405.13	726
ENSG00000050426.15	143
ENSG00000050555.17	43
ENSG00000050748.17	447
ENSG00000050820.16	38
ENSG00000051009.10	51
ENSG00000051108.14	532
ENSG00000051128.18	34
ENSG00000051341.13	144
ENSG00000051382.8	103
ENSG00000051596.9	88
ENSG00000051825.14	53
ENSG00000052126.14	51
ENSG00000052723.11	253
ENSG00000052749.13	52
ENSG00000052795.12	72
ENSG00000052802.12	198
ENSG00000052841.14	250
ENSG00000053254.15	23
ENSG00000053501.12	8
ENSG00000053747.15	77
ENSG00000053770.11	294
ENSG00000054118.13	250
ENSG00000054523.17	797
ENSG00000054611.13	74
ENSG00000054654.15	85
ENSG00000054793.13	353
ENSG00000054965.10	235
ENSG00000055070.16	218
ENSG00000055147.18	269
ENSG00000055163.19	248
ENSG00000055211.12	34
ENSG00000055332.16	768
ENSG00000055483.19	249
ENSG00000055609.17	61
ENSG00000055917.15	1212
ENSG00000055950.16	259
ENSG00000056050.6	141
ENSG00000056097.15	365
ENSG00000056277.15	175
ENSG00000056586.15	277
ENSG00000056972.18	38
ENSG00000057252.12	494
ENSG00000057294.14	212
ENSG00000057608.16	567
ENSG00000057704.11	88
ENSG00000057757.9	348
ENSG00000057935.13	215
ENSG00000058063.15	424
ENSG00000058262.9	1721
ENSG00000058272.16	1223
ENSG00000058404.19	38
ENSG00000058453.16	27
ENSG00000058600.15	108
ENSG00000058673.15	188
ENSG00000058729.10	42
ENSG00000058799.13	68
ENSG00000059145.18	17
ENSG00000059377.15	138
ENSG00000059691.11	345
ENSG00000059728.10	94
ENSG00000059758.7	597
ENSG00000060138.12	76
ENSG00000060237.16	275
ENSG00000060491.16	186
ENSG00000060642.10	40
ENSG00000060749.14	494
ENSG00000060762.18	76
ENSG00000060971.17	199
ENSG00000061273.17	136
ENSG00000061656.9	32
ENSG00000061794.12	91
ENSG00000061918.12	32
ENSG00000061936.9	263
ENSG00000061938.16	120
ENSG00000061987.14	574
ENSG00000062038.13	51
ENSG00000062194.15	142
ENSG00000062485.18	996
ENSG00000062598.17	170
ENSG00000062716.11	1116
ENSG00000062725.9	177
ENSG00000062822.12	107
ENSG00000063176.15	11
ENSG00000063177.12	500
ENSG00000063244.12	1961
ENSG00000063322.13	129
ENSG00000063438.16	81
ENSG00000063587.13	36
ENSG00000063601.16	165
ENSG00000063660.8	243
ENSG00000063761.15	58
ENSG00000063854.12	105
ENSG00000063978.15	116
ENSG00000064012.21	249
ENSG00000064042.17	76
ENSG00000064102.14	390
ENSG00000064115.10	268
ENSG00000064225.12	27
ENSG00000064309.14	102
ENSG00000064313.11	300
ENSG00000064489.22	25
ENSG00000064490.13	249
ENSG00000064545.14	48
ENSG00000064547.13	19
ENSG00000064607.16	76
ENSG00000064666.14	95
ENSG00000064703.11	239
ENSG00000064726.9	740
ENSG00000064763.10	23
ENSG00000064932.15	18
ENSG00000064933.16	88
ENSG00000064961.18	271
ENSG00000064995.16	118
ENSG00000065000.15	99
ENSG00000065054.13	719
ENSG00000065057.7	203
ENSG00000065135.9	1103
ENSG00000065150.18	208
ENSG00000065154.11	795
ENSG00000065268.10	114
ENSG00000065328.16	172
ENSG00000065357.19	87
ENSG00000065361.14	41
ENSG00000065427.14	1418
ENSG00000065457.10	50
ENSG00000065491.8	42
ENSG00000065518.7	1329
ENSG00000065534.18	80
ENSG00000065548.17	71
ENSG00000065613.13	918
ENSG00000065621.14	81
ENSG00000065665.20	78
ENSG00000065717.14	22
ENSG00000065809.13	326
ENSG00000065882.15	112
ENSG00000065911.11	471
ENSG00000065970.8	77
ENSG00000066027.11	566
ENSG00000066044.14	1021
ENSG00000066084.12	1173
ENSG00000066117.14	461
ENSG00000066136.20	186
ENSG00000066248.14	213
ENSG00000066322.13	752
ENSG00000066422.4	502
ENSG00000066427.21	383
ENSG00000066455.12	642
ENSG00000066583.11	209
ENSG00000066629.16	141
ENSG00000066651.17	49
ENSG00000066654.13	441
ENSG00000066697.14	133
ENSG00000066777.8	794
ENSG00000066827.15	155
ENSG00000066855.15	192
ENSG00000066926.10	383
ENSG00000066933.15	251
ENSG00000067057.16	106
ENSG00000067066.16	362
ENSG00000067167.7	4285
ENSG00000067177.14	890
ENSG00000067182.7	140
ENSG00000067221.13	29
ENSG00000067225.17	16137
ENSG00000067248.9	498
ENSG00000067365.14	29
ENSG00000067369.13	234
ENSG00000067560.10	4555
ENSG00000067715.13	98
ENSG00000067798.14	78
ENSG00000067829.18	622
ENSG00000067836.12	25
ENSG00000067900.7	22
ENSG00000067992.12	134
ENSG00000068001.13	59
ENSG00000068028.17	590
ENSG00000068097.14	151
ENSG00000068120.14	72
ENSG00000068137.14	28
ENSG00000068305.17	284
ENSG00000068323.16	89
ENSG00000068354.15	25
