baseMean log2FoldChange lfcSE stat pvalue padj
ENSG00000156802.12 775.431383388996 -4.05866609615074 0.351069626244719 -11.5608579972156 6.50554988193851e-31 6.52311486661974e-27
ENSG00000138246.15 255.432917717877 -4.45575734359484 0.468328209905258 -9.51417670205311 1.83157418907909e-21 9.18259719694804e-18
ENSG00000087191.12 1251.43322707284 -9.86964165505476 1.07300915570446 -9.19809640261187 3.64346829334011e-20 1.07423509751811e-16
ENSG00000146731.10 1202.83252837309 -9.9744321965802 1.08646371544824 -9.18063995580841 4.28536989136575e-20 1.07423509751811e-16
ENSG00000070756.14 2460.4427768843 -4.14592522952942 0.46212758973987 -8.97138652090249 2.92805016002937e-19 4.19422270780207e-16
ENSG00000102038.15 841.56027033445 -10.0128089101626 1.11248810572902 -9.00037389936955 2.24950252995462e-19 4.19422270780207e-16
ENSG00000165732.12 713.969435391082 -9.73837274977906 1.0846098976585 -8.97868696459683 2.74017176370244e-19 4.19422270780207e-16
ENSG00000088930.7 738.35164174694 -9.71385096213917 1.0848445833802 -8.95414063079191 3.42392161120215e-19 4.2914577494405e-16
ENSG00000282988.1 405.802439745376 -10.9876130053305 1.23437990860194 -8.90132197450865 5.51854191992555e-19 6.14826887012149e-16
ENSG00000124486.12 774.728960939818 -9.60231169599071 1.08494261105527 -8.85052499380682 8.71085522733523e-19 7.94034048768094e-16
ENSG00000125304.8 832.66184215151 -9.94610355912518 1.12370449111362 -8.8511736295263 8.66037024128654e-19 7.94034048768094e-16
ENSG00000135829.16 706.501949952059 -9.6165589246374 1.08998682917612 -8.82263773031662 1.11794564031415e-18 9.34136744619164e-16
ENSG00000089154.10 1080.39782562492 -9.86867539746033 1.12145808396227 -8.79986112596636 1.36985565719471e-18 1.05658020574549e-15
ENSG00000101972.18 641.2788761894 -9.78302629354014 1.12733655938484 -8.67799967285589 4.02790199837934e-18 2.8848409526964e-15
ENSG00000132466.17 708.625697589943 -9.37112190352554 1.09179033748952 -8.58326143925547 9.22204409274465e-18 5.89871436399109e-15
ENSG00000158417.10 726.724979004359 -9.40563809070657 1.09700369658334 -8.57393472784167 1.00008122257753e-17 5.89871436399109e-15
ENSG00000256500.5 759.184994616978 -9.24387383793211 1.07726922361296 -8.58083906540084 9.41835758042776e-18 5.89871436399109e-15
ENSG00000082153.17 584.013569565704 -9.48663139219279 1.11034089082005 -8.54389086327028 1.29776609924157e-17 7.22927815394178e-15
ENSG00000196961.12 626.943983436398 -9.22071917943212 1.09036343979234 -8.45655571612728 2.75390713544893e-17 1.45333825511297e-14
ENSG00000132688.10 942.391784904028 -9.33162766011466 1.10517094727864 -8.44360565493756 3.07695995952758e-17 1.54263387570915e-14
ENSG00000158290.16 440.216196088993 -9.16765538294003 1.09336988981042 -8.38477030360664 5.08249022787642e-17 2.4267680721389e-14
ENSG00000178035.11 1046.10952728197 -9.96221883676118 1.19304016424869 -8.35027950885023 6.81016122783643e-17 3.10388575597799e-14
ENSG00000170759.10 561.344624865358 -9.47501962740349 1.1379665513441 -8.326272521993 8.34276241579948e-17 3.63708168448788e-14
ENSG00000067704.9 796.238141629378 -9.39644988324159 1.13096242928756 -8.30836607822664 9.70287991325197e-17 4.05378237042406e-14
ENSG00000182180.13 597.449355856222 -9.29868012480844 1.12536826435036 -8.26278865272278 1.42308075478138e-16 5.70769229127716e-14
ENSG00000143641.9 531.700391400519 -8.95290564389671 1.08478713866332 -8.25314508699703 1.5427956460385e-16 5.94985074724157e-14
ENSG00000009954.10 703.979561255257 -9.11970955539905 1.10693362726982 -8.23871398494975 1.74071510802053e-16 6.46450014374883e-14
ENSG00000163527.9 670.709642826145 -9.47163695856603 1.15271433025204 -8.2168120149032 2.08984269120659e-16 7.48387595168874e-14
ENSG00000005022.5 1068.60562340909 -10.2889900501947 1.26791260994486 -8.11490474145696 4.86166026341983e-16 1.68096094694175e-13
ENSG00000154174.7 548.863337478777 -9.13690930366109 1.13492756577021 -8.0506541379673 8.23526871176783e-16 2.75250131242987e-13
ENSG00000061676.14 653.596675009318 -8.87900070391118 1.10592953019962 -8.02854111537156 9.8638556172936e-16 3.09077750858134e-13
ENSG00000163655.15 487.586790990774 -8.79600699355948 1.09508119252888 -8.03228751764678 9.56718389891623e-16 3.09077750858134e-13
ENSG00000100991.11 451.854786822439 -8.72612731334835 1.08785209227353 -8.02142807402375 1.04522778802071e-15 3.17590879711627e-13
ENSG00000170275.14 720.147113462781 -9.15514660613452 1.14590686180346 -7.98943344463953 1.35560286691998e-15 3.99783233723726e-13
ENSG00000046604.12 339.194015783271 -9.08845675739079 1.14482252329709 -7.938747336326 2.04233324153342e-15 5.8509929751016e-13
ENSG00000117139.16 303.981870946408 -8.77634494131465 1.10999747529752 -7.9066350479421 2.64439402774552e-15 7.36537192116787e-13
ENSG00000110048.11 259.599051605434 -8.572996925634 1.08732327837162 -7.88449681540248 3.15805461771658e-15 8.55832801401193e-13
ENSG00000130706.12 623.59136966987 -8.74399441706318 1.1163581121697 -7.83260704763346 4.77856028451848e-15 1.21772067535546e-12
ENSG00000131981.15 718.473890295651 -9.52608974229506 1.21582841541426 -7.8350609522885 4.68615324952038e-15 1.21772067535546e-12
