gene	SRX118286_cnt	SRX118292_cnt	SRX118290_cnt	SRX118296_cnt
ENSG00000138433.15	70	152	108	0
ENSG00000255835.1	59	163	101	314
ENSG00000164080.13	0	163	58	141
ENSG00000159840.15	937	4618	1004	0
ENSG00000166435.15	0	0	11	0
ENSG00000106031.7	55	126	66	140
ENSG00000118705.16	1383	5128	2318	4450
ENSG00000162512.15	24	39	22	0
ENSG00000170310.14	41	0	42	44
ENSG00000181192.11	36	180	53	260
ENSG00000181038.13	46	61	27	0
ENSG00000102977.13	49	143	62	0
ENSG00000106991.13	0	53	14	0
ENSG00000107798.17	205	1262	225	1265
ENSG00000067177.14	121	488	201	890
ENSG00000265818.1	151	0	0	0
ENSG00000143157.11	90	185	107	253
ENSG00000100030.14	236	941	280	0
ENSG00000110931.18	17	157	52	176
ENSG00000137831.14	289	775	369	0
ENSG00000197226.12	136	399	239	513
ENSG00000011007.12	103	326	136	0
ENSG00000165115.14	10	18	0	58
ENSG00000135315.11	0	50	0	0
ENSG00000104129.9	35	0	28	78
ENSG00000181982.18	11	44	18	13
ENSG00000100084.14	44	158	0	139
ENSG00000119318.12	495	1380	750	1867
ENSG00000197013.9	0	0	7	0
ENSG00000160867.14	0	99	0	44
ENSG00000158985.13	32	20	44	145
ENSG00000011243.17	126	343	100	233
ENSG00000095203.14	0	38	15	78
ENSG00000137714.2	27	0	0	0
ENSG00000130429.12	328	933	545	404
ENSG00000171109.18	156	827	229	468
ENSG00000171700.13	18	0	0	48
ENSG00000168298.6	1021	4234	1189	5010
ENSG00000143748.17	71	313	86	145
ENSG00000050405.13	121	360	156	726
ENSG00000104361.9	5	0	0	0
ENSG00000104915.14	10	86	21	200
ENSG00000164985.14	261	693	308	981
ENSG00000197046.11	10	22	14	44
ENSG00000187824.8	0	20	5	0
ENSG00000131051.21	389	1595	149	1030
ENSG00000065883.14	74	0	0	0
ENSG00000062716.11	444	671	0	1116
ENSG00000121274.12	40	137	57	178
