gene	SRX118285_cnt	SRX118291_cnt	SRX118289_cnt	SRX118295_cnt
ENSG00000111669.14	2529	1425	2166	1601
ENSG00000172922.8	313	309	289	393
ENSG00000160216.18	440	477	383	505
ENSG00000241360.1	247	152	140	150
ENSG00000268107.5	2	6	2	1
ENSG00000168734.13	53	46	71	52
ENSG00000012983.11	1867	1440	1853	1620
ENSG00000204919.1	0	0	0	0
ENSG00000198932.12	37	34	29	22
ENSG00000087903.12	40	16	52	41
ENSG00000161664.6	0	1	0	2
ENSG00000159648.11	0	0	0	0
ENSG00000198431.15	6255	7123	6592	7182
ENSG00000172404.4	0	0	0	0
ENSG00000211864.2	0	0	0	0
ENSG00000147852.15	111	40	70	41
ENSG00000196260.4	0	0	0	0
ENSG00000163530.4	0	0	0	0
ENSG00000119689.14	451	471	390	494
ENSG00000163377.15	0	0	0	0
ENSG00000101412.12	608	497	594	605
ENSG00000172172.7	1104	1787	807	1131
ENSG00000092108.20	1085	1290	900	1008
ENSG00000211808.3	0	0	0	0
ENSG00000169550.12	7	0	0	0
ENSG00000204231.10	53	37	59	52
ENSG00000211966.2	0	0	0	0
ENSG00000116809.11	250	193	224	248
ENSG00000091138.12	0	0	0	0
ENSG00000076928.17	716	758	613	851
ENSG00000185862.6	3	2	5	1
ENSG00000055609.17	485	648	629	596
ENSG00000102891.3	0	0	0	1
ENSG00000013725.14	0	0	0	0
ENSG00000105784.15	4	7	4	8
ENSG00000125652.7	336	345	333	589
ENSG00000168830.7	0	0	0	0
ENSG00000165125.18	0	0	0	0
ENSG00000188342.11	370	404	266	396
ENSG00000114026.21	185	225	143	213
ENSG00000196150.13	205	183	139	210
ENSG00000125510.15	16	10	19	12
ENSG00000100150.16	98	102	107	116
ENSG00000142303.13	0	0	2	0
ENSG00000160959.7	427	336	285	467
ENSG00000110092.3	1796	1408	1253	1099
ENSG00000100373.9	2	1	0	4
ENSG00000128245.14	900	873	643	869
ENSG00000142784.15	451	385	448	556
ENSG00000085978.21	703	708	348	330
ENSG00000240403.5	0	0	0	0
ENSG00000140987.19	104	125	97	118
ENSG00000141279.15	2020	1611	1657	1527
ENSG00000087303.17	301	137	317	132
ENSG00000127586.16	208	257	239	339
ENSG00000124333.15	0	0	0	0
ENSG00000123992.18	663	456	477	538
ENSG00000041988.15	123	141	137	146
ENSG00000120457.11	0	0	0	0
ENSG00000139988.9	0	0	0	1
ENSG00000223547.9	37	72	71	108
ENSG00000100297.15	1017	936	975	1034
ENSG00000184900.15	835	931	794	1081
ENSG00000279524.1	0	0	0	0
ENSG00000164151.11	768	879	658	740
ENSG00000166794.4	2021	2210	1639	2422
ENSG00000134321.11	37	5	54	4
ENSG00000077935.16	2	2	0	2
ENSG00000152093.7	0	0	0	0
ENSG00000172139.14	0	0	1	0
ENSG00000110906.12	242	216	187	243
ENSG00000172986.12	32	61	35	59
ENSG00000163576.17	2	1	1	2
ENSG00000172987.12	0	0	0	0
ENSG00000152409.8	43	44	102	163
ENSG00000152193.7	166	185	149	112
ENSG00000183640.5	0	0	0	0
ENSG00000171813.13	114	95	72	105
ENSG00000139637.13	394	505	368	612
ENSG00000119973.5	0	0	0	0
ENSG00000211820.1	0	0	0	0
ENSG00000175768.12	376	314	252	238
ENSG00000124214.19	1037	1040	941	994
ENSG00000087250.8	2	0	2	0
ENSG00000187175.5	0	0	1	0
ENSG00000156959.8	0	0	0	0
ENSG00000112977.15	1178	1490	1015	1710
ENSG00000115459.17	84	84	84	98
ENSG00000182810.6	103	114	77	98
ENSG00000177169.9	567	493	600	1066
ENSG00000102181.20	212	244	273	295
ENSG00000186806.5	77	60	89	64
ENSG00000151468.10	0	0	0	0
ENSG00000153002.11	0	0	0	1
ENSG00000274744.1	0	0	0	0
ENSG00000181163.13	758	1104	730	1029
ENSG00000106785.14	173	87	138	70
ENSG00000168542.13	12	16	14	15
ENSG00000172382.9	5	5	10	6
ENSG00000270136.5	464	507	429	526
ENSG00000177301.13	0	0	0	0
ENSG00000267881.1	1	1	1	2
ENSG00000168591.15	354	214	241	260
ENSG00000211827.1	0	0	0	0
ENSG00000183463.5	0	0	0	0
ENSG00000196735.11	0	0	0	0
ENSG00000114423.18	356	242	560	451
ENSG00000171530.13	396	364	374	275
ENSG00000211640.3	0	0	0	0
ENSG00000164683.16	202	298	99	143
ENSG00000250673.2	1	0	1	0
ENSG00000175063.16	1227	1730	924	1736
ENSG00000065150.18	4744	5550	5340	5648
ENSG00000183734.4	0	0	0	0
ENSG00000186710.11	0	0	0	0
ENSG00000179627.9	62	28	40	52
ENSG00000069248.11	713	855	701	724
ENSG00000254466.1	0	0	0	0
ENSG00000163596.16	12	18	17	22
ENSG00000186272.12	130	166	125	97
ENSG00000118777.10	0	1	1	1
ENSG00000145882.10	145	150	105	169
ENSG00000167528.12	30	33	34	41
ENSG00000198258.10	1584	1750	1287	1467
ENSG00000110536.13	347	316	231	355
ENSG00000175931.12	1136	861	1006	1000
ENSG00000101057.15	1228	1457	856	1336
ENSG00000029534.19	26	31	21	31
ENSG00000279963.1	0	0	0	0
ENSG00000054392.12	13	11	17	11
ENSG00000198742.9	401	376	383	398
ENSG00000143631.10	0	0	0	0
ENSG00000176422.13	62	62	62	69
ENSG00000118707.9	91	73	58	42
ENSG00000163577.7	36	39	31	30
ENSG00000170011.13	1	0	0	0
ENSG00000155621.14	58	59	61	64
ENSG00000160570.13	92	111	137	215
ENSG00000173212.4	4	4	4	3
ENSG00000121579.12	767	964	549	546
ENSG00000148296.6	294	116	159	174
ENSG00000155659.14	0	0	0	0
ENSG00000148795.5	0	0	0	0
ENSG00000121236.20	82	90	76	80
ENSG00000269855.2	0	0	0	0
ENSG00000235608.1	0	0	1	0
ENSG00000158887.15	1	0	3	0
