




Analysis Type:	PANTHER Overrepresentation Test (Released 20181113)
Annotation Version and Release Date:	GO Ontology database  Released 2019-01-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	8749
GO biological process complete	Homo sapiens - REFLIST (20996)	upload_1 (3846)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
regulation of DNA-dependent DNA replication (GO:0090329)	53	30	9.71	+	3.09	3.53E-02
ATP-dependent chromatin remodeling (GO:0043044)	73	38	13.37	+	2.84	8.47E-03
positive regulation of mitotic cell cycle phase transition (GO:1901992)	79	40	14.47	+	2.76	1.07E-02
DNA-templated transcription, termination (GO:0006353)	72	36	13.19	+	2.73	3.00E-02
regulation of mitotic sister chromatid segregation (GO:0033047)	72	36	13.19	+	2.73	3.00E-02
ncRNA transcription (GO:0098781)	91	45	16.67	+	2.70	2.53E-03
mitotic sister chromatid segregation (GO:0000070)	105	51	19.23	+	2.65	7.02E-04
mitotic nuclear division (GO:0140014)	138	67	25.28	+	2.65	6.07E-06
positive regulation of cell cycle phase transition (GO:1901989)	96	46	17.59	+	2.62	4.41E-03
mRNA export from nucleus (GO:0006406)	109	52	19.97	+	2.60	7.21E-04
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	109	52	19.97	+	2.60	7.21E-04
ribonucleoprotein complex localization (GO:0071166)	129	60	23.63	+	2.54	1.96E-04
ribonucleoprotein complex export from nucleus (GO:0071426)	128	59	23.45	+	2.52	3.11E-04
cell cycle G2/M phase transition (GO:0044839)	137	63	25.10	+	2.51	9.80E-05
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	95	43	17.40	+	2.47	3.80E-02
G2/M transition of mitotic cell cycle (GO:0000086)	135	61	24.73	+	2.47	3.69E-04
RNA export from nucleus (GO:0006405)	131	59	24.00	+	2.46	7.35E-04
protein export from nucleus (GO:0006611)	151	67	27.66	+	2.42	1.23E-04
regulation of chromosome segregation (GO:0051983)	107	47	19.60	+	2.40	2.46E-02
spindle organization (GO:0007051)	139	61	25.46	+	2.40	9.33E-04
positive regulation of chromatin organization (GO:1905269)	103	45	18.87	+	2.39	4.84E-02
mitotic cell cycle process (GO:1903047)	580	253	106.24	+	2.38	3.43E-24
regulation of DNA replication (GO:0006275)	108	47	19.78	+	2.38	2.72E-02
nuclear export (GO:0051168)	160	69	29.31	+	2.35	1.72E-04
positive regulation of chromosome organization (GO:2001252)	172	74	31.51	+	2.35	6.33E-05
sister chromatid segregation (GO:0000819)	138	59	25.28	+	2.33	2.38E-03
mitotic cell cycle phase transition (GO:0044772)	260	110	47.63	+	2.31	3.46E-08
organelle localization by membrane tethering (GO:0140056)	168	71	30.77	+	2.31	2.07E-04
mitotic cell cycle (GO:0000278)	677	286	124.01	+	2.31	4.30E-26
cell cycle phase transition (GO:0044770)	268	112	49.09	+	2.28	4.05E-08
DNA-dependent DNA replication (GO:0006261)	118	49	21.61	+	2.27	4.21E-02
mitotic cell cycle checkpoint (GO:0007093)	159	66	29.13	+	2.27	1.14E-03
DNA replication (GO:0006260)	212	88	38.83	+	2.27	8.21E-06
DNA damage checkpoint (GO:0000077)	135	56	24.73	+	2.26	1.34E-02
regulation of mitotic cell cycle phase transition (GO:1901990)	413	171	75.65	+	2.26	1.16E-13
rRNA metabolic process (GO:0016072)	232	96	42.50	+	2.26	2.04E-06
cell division (GO:0051301)	486	201	89.02	+	2.26	1.83E-16
regulation of signal transduction by p53 class mediator (GO:1901796)	180	74	32.97	+	2.24	3.26E-04
regulation of cell cycle G2/M phase transition (GO:1902749)	212	87	38.83	+	2.24	1.99E-05
RNA phosphodiester bond hydrolysis (GO:0090501)	161	66	29.49	+	2.24	1.45E-03
cell cycle checkpoint (GO:0000075)	198	81	36.27	+	2.23	7.43E-05
mRNA transport (GO:0051028)	157	64	28.76	+	2.23	2.69E-03
membrane docking (GO:0022406)	177	72	32.42	+	2.22	6.67E-04
regulation of mitotic nuclear division (GO:0007088)	185	75	33.89	+	2.21	3.15E-04
chromosome segregation (GO:0007059)	264	107	48.36	+	2.21	5.17E-07
positive regulation of mitotic cell cycle (GO:0045931)	153	62	28.03	+	2.21	5.02E-03
regulation of cell cycle phase transition (GO:1901987)	447	181	81.88	+	2.21	8.30E-14
RNA splicing (GO:0008380)	391	158	71.62	+	2.21	1.08E-11
DNA integrity checkpoint (GO:0031570)	147	59	26.93	+	2.19	1.28E-02
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	195	78	35.72	+	2.18	2.61E-04
RNA splicing, via transesterification reactions (GO:0000375)	294	117	53.85	+	2.17	1.74E-07
establishment of RNA localization (GO:0051236)	199	79	36.45	+	2.17	3.22E-04
protein-containing complex localization (GO:0031503)	257	102	47.08	+	2.17	3.17E-06
regulation of histone modification (GO:0031056)	144	57	26.38	+	2.16	2.64E-02
mRNA splicing, via spliceosome (GO:0000398)	291	115	53.30	+	2.16	3.47E-07
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	291	115	53.30	+	2.16	3.47E-07
RNA transport (GO:0050658)	197	77	36.09	+	2.13	7.22E-04
nucleic acid transport (GO:0050657)	197	77	36.09	+	2.13	7.22E-04
microtubule-based transport (GO:0099111)	151	59	27.66	+	2.13	2.66E-02
transport along microtubule (GO:0010970)	151	59	27.66	+	2.13	2.66E-02
tRNA metabolic process (GO:0006399)	195	76	35.72	+	2.13	9.78E-04
intrinsic apoptotic signaling pathway (GO:0097193)	152	59	27.84	+	2.12	2.91E-02
RNA localization (GO:0006403)	219	85	40.12	+	2.12	2.08E-04
mRNA processing (GO:0006397)	471	182	86.28	+	2.11	2.58E-12
ncRNA metabolic process (GO:0034660)	542	209	99.28	+	2.11	1.50E-14
rRNA processing (GO:0006364)	205	79	37.55	+	2.10	7.85E-04
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	151	58	27.66	+	2.10	4.35E-02
gene silencing (GO:0016458)	151	58	27.66	+	2.10	4.35E-02
positive regulation of cell cycle process (GO:0090068)	287	110	52.57	+	2.09	3.74E-06
regulation of response to DNA damage stimulus (GO:2001020)	214	82	39.20	+	2.09	5.67E-04
double-strand break repair (GO:0006302)	171	65	31.32	+	2.08	1.68E-02
negative regulation of mitotic cell cycle phase transition (GO:1901991)	216	82	39.57	+	2.07	9.56E-04
RNA processing (GO:0006396)	864	326	158.27	+	2.06	3.69E-23
regulation of chromosome organization (GO:0033044)	345	130	63.20	+	2.06	2.05E-07
