




Analysis Type:	PANTHER Overrepresentation Test (Released 20181113)
Annotation Version and Release Date:	GO Ontology database  Released 2019-01-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	8749
GO biological process complete	Homo sapiens - REFLIST (20996)	upload_1 (1447)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
tRNA aminoacylation for protein translation (GO:0006418)	46	15	3.17	+	4.73	4.73E-02
anaphase-promoting complex-dependent catabolic process (GO:0031145)	81	26	5.58	+	4.66	2.53E-05
intracellular steroid hormone receptor signaling pathway (GO:0030518)	78	25	5.38	+	4.65	5.21E-05
mitotic spindle organization (GO:0007052)	72	23	4.96	+	4.64	2.21E-04
positive regulation of mitotic cell cycle phase transition (GO:1901992)	79	24	5.44	+	4.41	2.46E-04
mitotic sister chromatid segregation (GO:0000070)	105	30	7.24	+	4.15	1.58E-05
positive regulation of cell cycle phase transition (GO:1901989)	96	27	6.62	+	4.08	1.34E-04
positive regulation of mRNA metabolic process (GO:1903313)	75	21	5.17	+	4.06	5.52E-03
regulation of cellular response to heat (GO:1900034)	79	22	5.44	+	4.04	3.25E-03
regulation of mitotic sister chromatid segregation (GO:0033047)	72	20	4.96	+	4.03	1.13E-02
sister chromatid segregation (GO:0000819)	138	38	9.51	+	4.00	2.82E-07
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	95	26	6.55	+	3.97	3.91E-04
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	88	24	6.06	+	3.96	1.35E-03
regulation of chromosome separation (GO:1905818)	66	18	4.55	+	3.96	4.69E-02
ephrin receptor signaling pathway (GO:0048013)	86	23	5.93	+	3.88	3.26E-03
DNA-templated transcription, termination (GO:0006353)	72	19	4.96	+	3.83	3.89E-02
mitotic nuclear division (GO:0140014)	138	36	9.51	+	3.79	3.26E-06
positive regulation of viral process (GO:0048524)	104	27	7.17	+	3.77	5.44E-04
positive regulation of translation (GO:0045727)	124	32	8.55	+	3.74	3.81E-05
positive regulation of cellular amide metabolic process (GO:0034250)	145	37	9.99	+	3.70	3.15E-06
regulation of mRNA stability (GO:0043488)	175	44	12.06	+	3.65	1.05E-07
negative regulation of cell cycle G2/M phase transition (GO:1902750)	100	25	6.89	+	3.63	3.04E-03
regulation of RNA stability (GO:0043487)	181	45	12.47	+	3.61	8.49E-08
cytokinesis (GO:0000910)	97	24	6.69	+	3.59	6.08E-03
translational initiation (GO:0006413)	146	36	10.06	+	3.58	1.19E-05
spindle organization (GO:0007051)	139	34	9.58	+	3.55	4.04E-05
regulation of gene silencing by miRNA (GO:0060964)	86	21	5.93	+	3.54	3.54E-02
viral gene expression (GO:0019080)	128	31	8.82	+	3.51	2.32E-04
positive regulation of mitotic cell cycle (GO:0045931)	153	37	10.54	+	3.51	1.12E-05
mRNA splicing, via spliceosome (GO:0000398)	291	70	20.06	+	3.49	6.30E-13
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	291	70	20.06	+	3.49	6.30E-13
regulation of posttranscriptional gene silencing (GO:0060147)	88	21	6.06	+	3.46	4.80E-02
regulation of gene silencing by RNA (GO:0060966)	88	21	6.06	+	3.46	4.80E-02
regulation of mRNA catabolic process (GO:0061013)	197	47	13.58	+	3.46	1.01E-07
RNA splicing, via transesterification reactions (GO:0000375)	294	70	20.26	+	3.45	9.91E-13
DNA geometric change (GO:0032392)	94	22	6.48	+	3.40	3.79E-02
regulation of chromosome segregation (GO:0051983)	107	25	7.37	+	3.39	8.88E-03
regulation of stem cell differentiation (GO:2000736)	112	26	7.72	+	3.37	6.04E-03
cytoskeleton-dependent cytokinesis (GO:0061640)	95	22	6.55	+	3.36	4.39E-02
nucleus organization (GO:0006997)	130	30	8.96	+	3.35	9.65E-04
negative regulation of translation (GO:0017148)	130	30	8.96	+	3.35	9.65E-04
positive regulation of chromosome organization (GO:2001252)	172	39	11.85	+	3.29	1.94E-05
regulation of mRNA metabolic process (GO:1903311)	322	73	22.19	+	3.29	2.04E-12
response to unfolded protein (GO:0006986)	159	36	10.96	+	3.29	8.21E-05
regulation of mRNA processing (GO:0050684)	137	31	9.44	+	3.28	8.71E-04
entry into other organism involved in symbiotic interaction (GO:0051828)	102	23	7.03	+	3.27	3.96E-02
entry into cell of other organism involved in symbiotic interaction (GO:0051806)	102	23	7.03	+	3.27	3.96E-02
entry into host (GO:0044409)	102	23	7.03	+	3.27	3.96E-02
entry into host cell (GO:0030260)	102	23	7.03	+	3.27	3.96E-02
viral life cycle (GO:0019058)	196	44	13.51	+	3.26	2.42E-06
regulation of gene silencing (GO:0060968)	126	28	8.68	+	3.22	4.88E-03
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	195	43	13.44	+	3.20	6.18E-06
regulation of protein localization to nucleus (GO:1900180)	109	24	7.51	+	3.19	3.52E-02
viral transcription (GO:0019083)	114	25	7.86	+	3.18	2.38E-02
ribonucleoprotein complex export from nucleus (GO:0071426)	128	28	8.82	+	3.17	6.41E-03
regulation of DNA-templated transcription in response to stress (GO:0043620)	124	27	8.55	+	3.16	1.08E-02
ribonucleoprotein complex localization (GO:0071166)	129	28	8.89	+	3.15	7.33E-03
negative regulation of cellular amide metabolic process (GO:0034249)	148	32	10.20	+	3.14	1.34E-03
chromosome segregation (GO:0007059)	264	57	18.19	+	3.13	2.23E-08
regulation of histone modification (GO:0031056)	144	31	9.92	+	3.12	2.26E-03
RNA splicing (GO:0008380)	391	84	26.95	+	3.12	1.73E-13
RNA export from nucleus (GO:0006405)	131	28	9.03	+	3.10	9.54E-03
regulation of RNA splicing (GO:0043484)	136	29	9.37	+	3.09	6.43E-03
posttranscriptional regulation of gene expression (GO:0010608)	512	109	35.29	+	3.09	4.26E-18
regulation of cell cycle G2/M phase transition (GO:1902749)	212	45	14.61	+	3.08	7.12E-06
mitotic cell cycle process (GO:1903047)	580	123	39.97	+	3.08	1.06E-20
cell division (GO:0051301)	486	103	33.49	+	3.08	8.21E-17
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	118	25	8.13	+	3.07	4.04E-02
negative regulation of chromosome organization (GO:2001251)	137	29	9.44	+	3.07	7.32E-03
DNA integrity checkpoint (GO:0031570)	147	31	10.13	+	3.06	3.33E-03
regulation of mitotic nuclear division (GO:0007088)	185	39	12.75	+	3.06	1.11E-04
mRNA processing (GO:0006397)	471	99	32.46	+	3.05	7.91E-16
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	314	66	21.64	+	3.05	1.21E-09
interaction with host (GO:0051701)	158	33	10.89	+	3.03	1.72E-03
response to topologically incorrect protein (GO:0035966)	182	38	12.54	+	3.03	2.12E-04
viral process (GO:0016032)	690	144	47.55	+	3.03	3.33E-24
G2/M transition of mitotic cell cycle (GO:0000086)	135	28	9.30	+	3.01	1.59E-02
DNA damage checkpoint (GO:0000077)	135	28	9.30	+	3.01	1.59E-02
cell cycle checkpoint (GO:0000075)	198	41	13.65	+	3.00	7.36E-05
positive regulation of canonical Wnt signaling pathway (GO:0090263)	141	29	9.72	+	2.98	1.21E-02
nuclear chromosome segregation (GO:0098813)	214	44	14.75	+	2.98	2.55E-05
protein export from nucleus (GO:0006611)	151	31	10.41	+	2.98	5.51E-03
mRNA metabolic process (GO:0016071)	683	140	47.07	+	2.97	9.14E-23
cell cycle G2/M phase transition (GO:0044839)	137	28	9.44	+	2.97	2.04E-02
protein localization to endoplasmic reticulum (GO:0070972)	137	28	9.44	+	2.97	2.04E-02
proteasomal protein catabolic process (GO:0010498)	338	69	23.29	+	2.96	1.13E-09
negative regulation of mitotic cell cycle phase transition (GO:1901991)	216	44	14.89	+	2.96	3.26E-05
