gene_id	SRX118286	SRX1254413	SRX2536421	SRX2647167
ENSG00000000003	1	1	1	1
ENSG00000000419	1	1	1	1
ENSG00000000457	1	1	1	1
ENSG00000000460	1	1	1	1
ENSG00000000971	1	1	1	0
ENSG00000001036	1	1	1	1
ENSG00000001084	1	1	1	1
ENSG00000001167	1	1	1	0
ENSG00000001460	1	1	0	1
ENSG00000001461	1	1	1	1
ENSG00000001497	1	1	1	1
ENSG00000001561	1	1	1	1
ENSG00000001617	1	1	1	1
ENSG00000001629	1	1	1	1
ENSG00000001630	1	1	1	1
ENSG00000001631	0	1	1	1
ENSG00000002016	1	1	0	1
ENSG00000002330	0	1	0	1
ENSG00000002549	1	1	1	1
ENSG00000002587	0	0	1	0
ENSG00000002745	0	1	0	0
ENSG00000002746	0	1	1	0
ENSG00000002822	1	1	1	1
ENSG00000002834	1	1	1	1
ENSG00000002919	0	1	1	1
ENSG00000003056	1	1	1	1
ENSG00000003096	1	1	1	1
ENSG00000003137	0	1	1	1
ENSG00000003147	0	1	1	0
ENSG00000003249	0	1	1	1
ENSG00000003393	1	1	1	1
ENSG00000003400	0	1	1	1
ENSG00000003402	1	1	1	1
ENSG00000003436	1	1	1	1
ENSG00000003509	1	1	1	1
ENSG00000003756	1	1	1	1
ENSG00000003987	0	1	0	0
ENSG00000003989	1	1	1	1
ENSG00000004059	1	1	1	1
ENSG00000004139	0	1	1	0
ENSG00000004142	1	1	1	0
ENSG00000004399	0	1	1	1
ENSG00000004455	1	1	1	1
ENSG00000004478	1	1	1	1
ENSG00000004487	1	1	1	1
ENSG00000004534	1	1	1	1
ENSG00000004660	0	1	0	1
ENSG00000004700	1	1	1	1
ENSG00000004766	1	1	1	1
ENSG00000004777	0	1	1	0
ENSG00000004779	1	1	1	1
ENSG00000004799	0	1	0	1
ENSG00000004864	1	1	1	1
ENSG00000004866	1	1	1	1
ENSG00000004897	1	1	1	0
ENSG00000004961	1	1	1	0
ENSG00000004975	1	1	1	1
ENSG00000005001	0	0	0	1
ENSG00000005007	1	1	1	1
ENSG00000005020	1	1	1	1
ENSG00000005022	1	1	1	1
ENSG00000005059	0	1	0	1
ENSG00000005073	1	1	1	0
ENSG00000005075	1	1	1	1
ENSG00000005100	1	1	1	1
ENSG00000005102	0	1	0	0
ENSG00000005108	0	0	1	0
ENSG00000005156	1	1	1	1
ENSG00000005175	1	1	1	1
ENSG00000005187	1	1	1	0
ENSG00000005189	0	1	1	1
ENSG00000005194	1	1	1	1
ENSG00000005206	1	1	1	1
ENSG00000005243	0	0	0	1
ENSG00000005249	0	1	1	1
ENSG00000005302	1	1	1	1
ENSG00000005339	1	1	1	1
ENSG00000005436	1	1	1	1
ENSG00000005448	1	1	1	1
ENSG00000005469	1	1	1	0
ENSG00000005471	0	1	1	0
ENSG00000005483	1	1	1	1
ENSG00000005486	1	1	1	1
ENSG00000005513	0	1	0	0
ENSG00000005700	1	1	1	1
ENSG00000005801	1	1	1	0
ENSG00000005810	1	1	1	1
ENSG00000005812	1	1	1	1
ENSG00000005844	0	0	1	0
ENSG00000005882	1	1	1	1
ENSG00000005884	1	1	0	1
ENSG00000005889	1	1	1	1
ENSG00000005893	1	1	1	1
ENSG00000005961	0	1	0	0
ENSG00000006007	1	1	1	1
ENSG00000006015	1	1	1	1
ENSG00000006016	0	1	0	1
ENSG00000006025	0	1	0	0
ENSG00000006042	1	1	1	1
ENSG00000006047	0	0	0	1
ENSG00000006062	1	1	1	1
ENSG00000006071	0	1	0	0
ENSG00000006118	0	1	1	1
ENSG00000006125	1	1	1	1
ENSG00000006128	0	1	0	0
ENSG00000006194	1	1	1	1
ENSG00000006210	0	1	1	0
ENSG00000006282	1	1	0	1
ENSG00000006283	0	1	0	0
ENSG00000006327	0	1	1	1
ENSG00000006377	0	1	0	1
ENSG00000006432	1	1	0	1
ENSG00000006451	1	1	1	1
ENSG00000006453	0	1	1	1
ENSG00000006459	0	1	1	1
ENSG00000006468	1	1	1	1
ENSG00000006530	1	1	1	1
ENSG00000006534	1	0	1	1
ENSG00000006555	1	0	1	1
ENSG00000006576	0	1	1	0
ENSG00000006606	1	0	0	0
ENSG00000006607	1	1	1	1
ENSG00000006611	0	0	1	0
ENSG00000006625	1	1	1	1
ENSG00000006634	0	1	1	1
ENSG00000006638	0	1	0	0
ENSG00000006652	1	1	1	0
ENSG00000006659	0	0	1	0
ENSG00000006695	1	1	1	1
ENSG00000006704	1	1	1	0
ENSG00000006712	1	1	1	1
ENSG00000006715	1	1	1	1
ENSG00000006740	0	1	0	0
ENSG00000006744	1	1	1	1
ENSG00000006747	1	1	0	1
ENSG00000006756	1	0	1	1
ENSG00000006757	1	0	0	1
ENSG00000006831	0	1	1	1
ENSG00000006837	0	1	0	0
ENSG00000007038	0	0	0	1
ENSG00000007047	0	1	1	1
ENSG00000007062	0	1	1	0
ENSG00000007080	1	1	1	1
ENSG00000007168	1	1	1	1
ENSG00000007171	0	1	0	0
ENSG00000007202	1	1	1	1
ENSG00000007237	0	1	0	0
ENSG00000007255	1	1	1	1
ENSG00000007264	0	1	0	0
ENSG00000007341	1	1	1	1
ENSG00000007372	1	1	0	1
ENSG00000007376	1	1	1	1
ENSG00000007384	0	1	1	1
ENSG00000007392	1	1	1	1
ENSG00000007402	0	1	0	0
ENSG00000007516	1	0	1	1
ENSG00000007520	1	1	1	1
ENSG00000007541	1	1	1	1
ENSG00000007545	1	1	1	1
ENSG00000007866	0	1	1	1
ENSG00000007923	1	1	1	1
ENSG00000007944	1	1	1	1
ENSG00000007952	0	0	1	0
ENSG00000007968	0	1	1	1
ENSG00000008018	1	1	1	1
ENSG00000008056	0	1	0	0
ENSG00000008083	1	1	1	1
ENSG00000008086	1	1	1	1
ENSG00000008128	1	1	1	1
ENSG00000008130	1	1	1	1
ENSG00000008256	0	1	1	1
ENSG00000008277	1	1	1	0
ENSG00000008282	1	1	1	1
ENSG00000008283	1	1	1	1
ENSG00000008294	1	1	1	1
ENSG00000008300	0	1	1	1
ENSG00000008311	1	1	1	0
ENSG00000008323	0	0	1	0
ENSG00000008324	0	1	1	1
ENSG00000008382	0	1	0	0
ENSG00000008394	1	1	1	1
ENSG00000008405	1	1	1	0
ENSG00000008441	1	1	1	1
ENSG00000008513	1	1	1	1
ENSG00000008516	0	1	0	0
ENSG00000008517	1	1	1	0
ENSG00000008710	0	1	1	1
ENSG00000008735	0	1	1	1
ENSG00000008838	1	1	1	1
ENSG00000008853	1	1	0	1
ENSG00000008869	0	1	1	1
ENSG00000008952	1	1	1	1
ENSG00000008988	1	1	1	1
ENSG00000009307	1	1	1	1
ENSG00000009335	1	1	1	0
ENSG00000009413	1	1	1	1
ENSG00000009694	0	1	1	0
ENSG00000009780	0	1	1	0
ENSG00000009830	0	1	1	0
ENSG00000009844	1	1	1	1
ENSG00000009950	0	1	1	0
ENSG00000009954	1	1	1	1
ENSG00000010017	0	1	1	1
ENSG00000010072	1	1	1	1
ENSG00000010165	1	1	1	1
