gene_id	SRX118286	SRX1254413	SRX2536421	SRX2647167
ENSG00000000457	0	0	0	1
ENSG00000001460	0	1	0	0
ENSG00000001461	1	1	0	1
ENSG00000001617	1	1	0	0
ENSG00000001629	0	1	0	0
ENSG00000001631	0	1	0	1
ENSG00000002587	0	0	0	1
ENSG00000002822	0	1	1	1
ENSG00000003056	0	1	1	1
ENSG00000003096	0	1	0	0
ENSG00000003393	0	1	0	0
ENSG00000003402	0	1	1	1
ENSG00000003436	0	0	0	1
ENSG00000003756	0	1	0	0
ENSG00000004455	0	1	0	0
ENSG00000004478	0	1	0	0
ENSG00000004534	0	1	0	0
ENSG00000004700	1	1	0	1
ENSG00000004961	0	1	0	1
ENSG00000005100	0	1	0	0
ENSG00000005187	0	0	1	0
ENSG00000005194	0	0	0	1
ENSG00000005238	0	0	0	1
ENSG00000005249	0	1	1	0
ENSG00000005339	0	0	1	0
ENSG00000005483	1	0	1	1
ENSG00000005700	0	1	1	1
ENSG00000005812	0	1	0	1
ENSG00000005884	1	0	0	1
ENSG00000005889	1	0	1	1
ENSG00000005893	0	1	0	0
ENSG00000006042	0	1	0	0
ENSG00000006125	1	1	0	1
ENSG00000006194	0	0	1	1
ENSG00000006377	0	1	0	0
ENSG00000006451	0	0	0	1
ENSG00000006468	0	1	0	0
ENSG00000006607	0	1	0	0
ENSG00000006625	0	1	0	0
ENSG00000006634	0	1	0	1
ENSG00000006652	1	1	1	1
ENSG00000006712	0	0	1	1
ENSG00000006740	0	1	0	0
ENSG00000006831	0	0	0	1
ENSG00000007047	0	1	0	0
ENSG00000007168	0	1	0	1
ENSG00000007372	0	1	0	0
ENSG00000007541	0	1	0	0
ENSG00000008130	0	0	0	1
ENSG00000008394	0	0	1	0
ENSG00000008405	0	1	0	1
ENSG00000008513	1	1	0	1
ENSG00000008988	1	1	1	1
ENSG00000009307	1	1	1	0
ENSG00000009335	0	0	0	1
ENSG00000009413	0	1	1	0
ENSG00000009954	1	1	1	0
ENSG00000010072	0	1	0	0
ENSG00000010165	1	1	1	1
ENSG00000010244	0	1	1	0
ENSG00000010270	0	1	0	0
ENSG00000010278	0	0	0	1
ENSG00000010292	1	1	1	1
ENSG00000010318	0	1	0	0
ENSG00000010539	0	1	0	0
ENSG00000010626	0	1	1	0
ENSG00000010803	0	1	0	0
ENSG00000010810	0	1	0	0
ENSG00000010818	0	1	0	0
ENSG00000011258	0	1	0	0
ENSG00000011275	0	1	0	1
ENSG00000011405	0	1	0	0
ENSG00000011426	0	0	0	1
ENSG00000011523	0	1	0	0
ENSG00000011638	1	1	0	1
ENSG00000012048	0	0	0	1
ENSG00000012061	0	1	0	1
ENSG00000012232	0	1	0	0
ENSG00000012504	0	0	1	0
ENSG00000012660	1	0	0	0
ENSG00000012983	0	1	0	1
ENSG00000013306	0	1	0	1
ENSG00000013364	0	0	0	1
ENSG00000013375	0	1	0	0
ENSG00000013561	1	1	0	1
ENSG00000013563	1	1	0	1
ENSG00000013573	0	1	0	0
ENSG00000013588	0	1	0	0
ENSG00000014138	0	0	0	1
ENSG00000014216	0	1	0	0
ENSG00000014641	0	1	0	0
ENSG00000014824	1	1	1	0
ENSG00000015171	0	1	0	0
ENSG00000015475	0	1	0	0
ENSG00000015479	0	1	0	0
ENSG00000016391	0	1	0	0
ENSG00000016864	1	1	0	1
ENSG00000018408	1	1	0	0
ENSG00000018699	0	1	0	0
ENSG00000019549	0	0	0	1
ENSG00000020129	0	1	0	0
ENSG00000020922	0	1	0	1
ENSG00000022267	1	1	0	0
ENSG00000022277	0	1	0	1
ENSG00000022840	1	1	1	0
ENSG00000023041	1	1	1	1
ENSG00000023228	0	1	0	0
ENSG00000023287	0	0	0	1
ENSG00000023330	1	1	1	1
ENSG00000023734	0	1	0	0
ENSG00000024048	0	0	0	1
ENSG00000024526	0	1	0	1
ENSG00000025293	0	0	0	1
ENSG00000025423	0	1	0	0
ENSG00000025796	1	0	0	0
ENSG00000026297	1	0	0	1
ENSG00000026559	0	1	0	0
ENSG00000026652	0	1	0	0
ENSG00000026950	0	1	0	0
ENSG00000027075	0	1	0	1
