gene_id	SRX026871	SRX1149649	SRX1900396	SRX2255510	SRX3110803
ENSMUSG00000000001	1	1	1	1	1
ENSMUSG00000000028	1	1	1	1	1
ENSMUSG00000000037	0	1	0	1	0
ENSMUSG00000000049	0	1	1	0	1
ENSMUSG00000000056	1	1	1	1	1
ENSMUSG00000000058	1	1	1	1	1
ENSMUSG00000000078	1	1	1	1	1
ENSMUSG00000000085	1	1	0	1	1
ENSMUSG00000000088	1	1	1	1	1
ENSMUSG00000000093	0	1	1	0	1
ENSMUSG00000000094	0	0	0	1	0
ENSMUSG00000000120	0	1	1	1	1
ENSMUSG00000000125	0	1	0	1	0
ENSMUSG00000000126	0	1	0	1	0
ENSMUSG00000000127	1	1	1	1	1
ENSMUSG00000000131	1	1	1	1	1
ENSMUSG00000000134	1	1	1	1	1
ENSMUSG00000000142	0	1	1	1	1
ENSMUSG00000000148	1	1	1	1	1
ENSMUSG00000000149	1	1	1	1	1
ENSMUSG00000000154	0	1	1	1	1
ENSMUSG00000000157	1	0	0	0	0
ENSMUSG00000000159	0	1	1	0	1
ENSMUSG00000000167	0	1	0	1	1
ENSMUSG00000000168	1	1	1	1	1
ENSMUSG00000000171	1	1	1	1	1
ENSMUSG00000000184	1	1	1	1	1
ENSMUSG00000000194	1	1	1	1	1
ENSMUSG00000000197	0	1	0	0	0
ENSMUSG00000000202	0	1	0	0	0
ENSMUSG00000000204	1	0	0	0	0
ENSMUSG00000000214	0	1	0	0	0
ENSMUSG00000000215	0	1	0	0	0
ENSMUSG00000000216	0	1	0	0	0
ENSMUSG00000000223	0	1	0	0	0
ENSMUSG00000000244	1	0	0	0	0
ENSMUSG00000000247	0	1	1	0	1
ENSMUSG00000000253	1	1	0	1	1
ENSMUSG00000000263	0	1	0	0	0
ENSMUSG00000000266	0	1	1	0	1
ENSMUSG00000000275	1	1	1	1	1
ENSMUSG00000000276	1	1	1	1	1
ENSMUSG00000000278	1	1	1	1	1
ENSMUSG00000000282	1	1	1	1	1
ENSMUSG00000000290	1	1	1	0	1
ENSMUSG00000000295	1	1	1	1	1
ENSMUSG00000000296	0	1	1	1	1
ENSMUSG00000000301	1	1	1	1	1
ENSMUSG00000000303	1	1	1	1	1
ENSMUSG00000000305	0	1	1	1	1
ENSMUSG00000000308	0	1	0	1	0
ENSMUSG00000000317	0	1	0	1	1
ENSMUSG00000000318	1	1	0	0	1
ENSMUSG00000000320	1	1	1	1	1
ENSMUSG00000000325	0	1	1	1	1
ENSMUSG00000000326	1	1	1	1	1
ENSMUSG00000000339	1	1	1	1	1
ENSMUSG00000000340	1	1	1	1	1
ENSMUSG00000000346	1	1	1	1	1
ENSMUSG00000000355	1	1	1	1	1
ENSMUSG00000000359	0	0	0	1	1
ENSMUSG00000000365	1	1	0	1	0
ENSMUSG00000000374	1	1	1	1	1
ENSMUSG00000000378	1	1	1	1	1
ENSMUSG00000000384	1	1	1	1	1
ENSMUSG00000000385	0	0	1	1	1
ENSMUSG00000000386	0	0	0	0	1
ENSMUSG00000000392	0	1	0	0	0
ENSMUSG00000000399	1	1	1	1	1
ENSMUSG00000000402	0	1	0	0	0
ENSMUSG00000000409	0	0	0	0	1
ENSMUSG00000000416	0	1	0	1	0
ENSMUSG00000000420	1	1	1	1	1
ENSMUSG00000000439	1	1	0	1	1
ENSMUSG00000000440	0	1	1	0	1
ENSMUSG00000000441	1	1	1	1	1
ENSMUSG00000000486	1	0	1	1	1
ENSMUSG00000000489	0	1	0	0	1
ENSMUSG00000000530	1	1	0	1	1
ENSMUSG00000000531	0	1	1	1	1
ENSMUSG00000000532	1	1	1	1	1
ENSMUSG00000000538	1	1	1	1	1
ENSMUSG00000000544	0	0	0	1	0
ENSMUSG00000000552	1	1	1	1	1
ENSMUSG00000000555	1	1	1	1	1
ENSMUSG00000000560	0	1	0	0	0
ENSMUSG00000000561	1	1	1	1	1
ENSMUSG00000000562	1	1	0	0	0
ENSMUSG00000000563	1	1	1	1	1
ENSMUSG00000000567	0	1	0	1	1
ENSMUSG00000000568	1	1	1	1	1
ENSMUSG00000000581	1	1	1	1	1
ENSMUSG00000000594	1	1	1	1	1
ENSMUSG00000000600	1	1	1	1	1
ENSMUSG00000000605	1	1	1	1	1
ENSMUSG00000000617	0	0	0	1	0
ENSMUSG00000000627	1	1	0	1	0
ENSMUSG00000000628	1	1	1	1	1
ENSMUSG00000000631	1	1	1	1	1
ENSMUSG00000000632	0	1	0	1	0
ENSMUSG00000000673	1	1	1	0	1
ENSMUSG00000000682	1	1	1	0	1
ENSMUSG00000000686	1	1	1	1	1
ENSMUSG00000000693	0	1	1	0	1
ENSMUSG00000000708	1	1	1	1	1
ENSMUSG00000000711	1	1	1	1	1
ENSMUSG00000000730	1	0	0	1	0
ENSMUSG00000000731	0	0	0	1	0
ENSMUSG00000000732	1	1	0	1	0
ENSMUSG00000000738	1	1	1	1	1
ENSMUSG00000000739	0	1	1	1	1
ENSMUSG00000000740	1	0	0	0	0
ENSMUSG00000000743	1	1	1	1	1
ENSMUSG00000000751	1	1	1	1	1
ENSMUSG00000000753	1	1	1	1	1
ENSMUSG00000000759	1	1	1	1	0
ENSMUSG00000000766	0	1	0	0	0
ENSMUSG00000000776	1	1	1	1	1
ENSMUSG00000000782	0	1	1	1	1
ENSMUSG00000000787	1	1	1	1	1
ENSMUSG00000000791	1	1	0	1	0
ENSMUSG00000000792	0	1	0	1	0
ENSMUSG00000000794	1	1	0	1	0
ENSMUSG00000000804	1	1	1	1	1
ENSMUSG00000000805	0	1	0	1	0
ENSMUSG00000000811	1	1	1	1	1
ENSMUSG00000000823	1	1	1	1	1
ENSMUSG00000000826	1	1	1	1	1
ENSMUSG00000000827	1	1	1	1	1
ENSMUSG00000000838	1	1	1	1	1
ENSMUSG00000000861	1	1	0	1	0
ENSMUSG00000000876	1	1	1	1	1
ENSMUSG00000000881	1	1	1	1	1
ENSMUSG00000000884	1	1	0	1	1
ENSMUSG00000000901	0	1	0	1	1
ENSMUSG00000000902	1	1	1	1	1
ENSMUSG00000000915	1	1	1	1	1
ENSMUSG00000000916	1	1	1	1	1
ENSMUSG00000000934	1	1	1	1	1
ENSMUSG00000000942	0	0	0	0	1
ENSMUSG00000000948	0	1	1	1	1
ENSMUSG00000000957	1	1	1	1	1
ENSMUSG00000000958	1	1	1	1	1
ENSMUSG00000000959	1	1	1	1	1
ENSMUSG00000000976	1	1	1	1	1
ENSMUSG00000000982	1	1	0	0	0
ENSMUSG00000000983	0	1	0	0	0
ENSMUSG00000001014	0	0	0	1	0
ENSMUSG00000001016	1	1	1	1	1
