gene_id	SRX026871	SRX1149649	SRX1900396	SRX2255510	SRX3110803
ENSMUSG00000000001	0	1	0	0	0
ENSMUSG00000000085	0	1	0	1	1
ENSMUSG00000000131	1	1	1	1	1
ENSMUSG00000000134	1	1	0	0	1
ENSMUSG00000000142	0	1	0	1	0
ENSMUSG00000000167	0	1	0	0	0
ENSMUSG00000000168	0	0	0	0	1
ENSMUSG00000000184	1	0	0	1	0
ENSMUSG00000000197	0	1	0	0	0
ENSMUSG00000000204	1	0	0	0	0
ENSMUSG00000000223	0	1	0	0	0
ENSMUSG00000000247	0	1	0	0	0
ENSMUSG00000000253	1	0	0	0	0
ENSMUSG00000000266	0	1	0	0	0
ENSMUSG00000000276	1	1	0	0	0
ENSMUSG00000000290	1	0	0	0	1
ENSMUSG00000000308	0	1	0	1	0
ENSMUSG00000000318	1	0	0	0	0
ENSMUSG00000000325	0	1	0	1	0
ENSMUSG00000000326	1	1	1	1	1
ENSMUSG00000000374	1	0	0	0	0
ENSMUSG00000000384	1	1	1	1	1
ENSMUSG00000000420	1	1	0	1	1
ENSMUSG00000000441	1	1	1	1	1
ENSMUSG00000000489	0	0	0	1	0
ENSMUSG00000000544	0	0	0	1	0
ENSMUSG00000000561	1	0	0	1	0
ENSMUSG00000000563	0	1	0	0	0
ENSMUSG00000000568	1	1	0	1	0
ENSMUSG00000000581	0	1	0	0	0
ENSMUSG00000000600	1	1	0	1	0
ENSMUSG00000000605	0	1	0	0	0
ENSMUSG00000000628	1	0	0	1	0
ENSMUSG00000000631	1	0	0	0	0
ENSMUSG00000000708	1	1	0	1	0
ENSMUSG00000000711	0	1	1	1	1
ENSMUSG00000000730	0	0	0	1	0
ENSMUSG00000000759	0	0	0	1	0
ENSMUSG00000000776	0	1	0	1	0
ENSMUSG00000000782	0	0	0	1	0
ENSMUSG00000000794	0	1	0	0	0
ENSMUSG00000000826	1	1	1	1	1
ENSMUSG00000000827	1	0	0	1	0
ENSMUSG00000000881	0	1	0	0	0
ENSMUSG00000000884	1	0	0	0	0
ENSMUSG00000000902	1	0	0	0	0
ENSMUSG00000000957	0	1	1	0	1
ENSMUSG00000000958	0	0	0	1	1
ENSMUSG00000001017	1	1	0	1	1
ENSMUSG00000001025	1	1	0	0	0
ENSMUSG00000001029	1	0	0	0	0
ENSMUSG00000001034	1	1	0	0	0
ENSMUSG00000001036	0	1	0	1	1
ENSMUSG00000001053	0	0	1	1	1
