FC_U FC_T
ENST00000220888.9_115620034_115668643_126 -9.12175818210366 7.63200543809226
ENST00000256544.7_34163568_34210049_222 -11.169755120373 7.28060715883215
ENST00000256544.7_34163654_34210063_150 -10.7140850946905 7.28060715883215
ENST00000304916.3_126558257_126558355_99 -8.20935291575399 7.18787408900532
ENST00000316308.8_178618771_178627109_333 -11.6391597645822 7.80330318240669
ENST00000316308.8_178623388_178627084_168 -10.7647087047369 7.80330318240669
ENST00000327671.9_33461671_33473131_123 -9.23350693141554 5.56099932201968
ENST00000350427.4_42910864_42911958_102 -9.46444105317426 7.05737438490037
ENST00000357385.7_81891777_81894478_99 -12.754386857288 8.35539620344646
ENST00000357385.7_81891779_81891850_72 -12.4395188082317 8.35539620344646
ENST00000359321.1_152660752_152676132_123 -9.51211133137294 6.81721516814858
ENST00000359359.6_36899521_36899619_99 -6.96177349360256 8.08665987706706
ENST00000367212.7_203795701_203796490_273 -10.4765906112408 7.0842668613382
ENST00000367212.7_203795708_203796464_240 -12.0774890387429 7.0842668613382
ENST00000367214.5_203796516_203796578_63 -9.27016254302488 7.0842668613382
ENST00000369321.6_113679730_113721004_363 -9.26255282083388 6.67201214007873
ENST00000369535.4_114716662_114716763_102 -10.5155606706768 6.86152240155472
ENST00000374244.3_112487051_112574174_186 -8.8725683668439 5.83745628916136
ENST00000378081.9_13785013_13785198_186 -9.56688578762309 6.35884674473564
ENST00000378081.9_13785050_13785145_96 -9.00129753804247 6.35884674473564
ENST00000378106.9_13784978_13785145_168 -9.47662598654392 6.76843424779703
ENST00000378106.9_13785013_13785198_186 -10.0422141168446 6.76843424779703
ENST00000379542.9_10747774_10749267_174 -11.1498949830616 7.26685342610089
ENST00000379542.9_10747806_10749215_90 -11.0843080171557 7.26685342610089
ENST00000380045.7_17749455_17749954_111 -9.04702050381735 6.13854985066157
ENST00000392258.7_201233522_201233596_75 -9.19400917371598 7.57811243191271
ENST00000393588.8_184638443_184649446_78 -7.95515518288119 8.49479340747707
ENST00000396056.6_44650995_44651234_240 -8.8702416703731 7.74450348384115
ENST00000398080.5_17749455_17749954_111 -9.04702050381735 6.13854985066157
ENST00000398654.7_46917327_46917449_123 -7.74811246512638 6.14529411035028
ENST00000403609.1_161179637_161179741_105 -10.9429189340151 6.24689617375373
ENST00000404526.6_50090394_50092044_60 -10.7584777101949 7.02224818725619
ENST00000415251.6_77840234_77893618_78 -11.1634793478785 7.76980778751185
ENST00000415684.5_12489781_12489900_120 -9.48169353014048 7.93649274565504
ENST00000415684.5_12489785_12489847_63 -9.3662181004253 7.93649274565504
ENST00000417748.1_201129779_201129850_72 -9.14964283828529 6.7387889279021
ENST00000424760.5_77840234_77893618_78 -11.7829156706961 8.38402967982706
ENST00000427077.1_102338148_102338216_69 -10.6508924034827 6.84033526611038
ENST00000427077.1_102338189_102338323_135 -9.65091175510245 6.84033526611038
ENST00000433029.6_92324118_92324180_63 -9.54436097753291 6.6997050926667
ENST00000435364.7_18142338_18142409_72 -11.2250359047613 7.65156805646791
ENST00000438029.1_42910864_42911472_63 -9.29451881415923 7.05737438490037
ENST00000441224.5_201129779_201129850_72 -9.17980505459729 6.85959637592404
ENST00000446004.5_12484444_12489847_138 -9.37981511718016 7.81405917826019
ENST00000446004.5_12484503_12489900_132 -9.37981511718016 7.81405917826019
ENST00000446821.5_113890098_113890166_69 -10.3172618299662 6.88925460243797
ENST00000446821.5_113890118_113890195_78 -12.2415181457813 6.88925460243797
ENST00000446821.5_113890266_113913182_69 -10.2841151336446 6.88925460243797
ENST00000448551.6_105558161_105573718_69 -10.1735288244078 6.50784255361034
ENST00000448879.5_84194573_84307212_102 -8.90679174148771 5.82882387007148
ENST00000448879.5_84194577_84194660_84 -8.90679174148771 5.82882387007148
