ORF_ID	FC_U	FC_T	transcript_id	gene_id
ENST00000005558.8_112423354_112450620_192	11.365336897736599	-10.7189700599481	ENST00000005558	ENSG00000006652
ENST00000005558.8_112423430_112450642_138	11.3070922326972	-10.7189700599481	ENST00000005558	ENSG00000006652
ENST00000013125.8_50532454_50532522_69	16.6380377771634	-11.5003750553943	ENST00000013125	ENSG00000012983
ENST00000066544.7_47189185_47189250_66	17.6989900837331	-11.8658926727778	ENST00000066544	ENSG00000004897
ENST00000085079.11_55675313_55675393_81	15.6895882522838	-10.7795473982557	ENST00000085079	ENSG00000063245
ENST00000085079.11_55675333_55675422_90	17.421640476446303	-10.7795473982557	ENST00000085079	ENSG00000063245
ENST00000156471.9_34964283_34969638_108	18.8538917581925	-11.9427309037345	ENST00000156471	ENSG00000021776
ENST00000156471.9_34969547_34969684_138	17.4759466737979	-11.9427309037345	ENST00000156471	ENSG00000021776
ENST00000160827.8_29790746_29796910_102	12.9417636125859	-11.1233202349764	ENST00000160827	ENSG00000079616
ENST00000188312.6_100200775_100200852_78	16.491869963007602	-10.621331312541999	ENST00000188312	ENSG00000075089
ENST00000201031.2_56629306_56629404_99	17.1519294436041	-11.066468677818301	ENST00000201031	ENSG00000087510
ENST00000212015.10_67884709_67884894_186	15.798343032643	-11.1688243508939	ENST00000212015	ENSG00000096717
ENST00000216194.11_40346537_40346647_111	18.325533848081	-11.2656065917194	ENST00000216194	ENSG00000239900
ENST00000216254.8_41469128_41499799_129	11.553828802221	-11.295378455575301	ENST00000216254	ENSG00000100412
ENST00000216277.12_96502393_96520128_282	30.0	-24.4688421300833	ENST00000216277	ENSG00000090060
ENST00000216277.12_96502475_96502564_90	24.4102907817679	-24.4688421300833	ENST00000216277	ENSG00000090060
ENST00000216277.12_96502568_96520147_126	24.1057999781293	-24.4688421300833	ENST00000216277	ENSG00000090060
ENST00000217233.7_380896_388075_339	30.0	-8.3748459053566	ENST00000217233	ENSG00000101255
ENST00000217233.7_381150_388083_93	30.0	-8.3748459053566	ENST00000217233	ENSG00000101255
ENST00000218089.13_123960530_123960781_252	18.9768322900024	-13.141985825726	ENST00000218089	ENSG00000101972
ENST00000218089.13_123960741_124021381_141	13.273174953206999	-13.141985825726	ENST00000218089	ENSG00000101972
ENST00000218089.13_123960815_124021410_96	12.034659127228599	-13.141985825726	ENST00000218089	ENSG00000101972
ENST00000218089.13_124021385_124022582_99	19.218946330036896	-13.141985825726	ENST00000218089	ENSG00000101972
ENST00000218200.12_147911962_147921939_276	10.980860099268698	-10.597761145822199	ENST00000218200	ENSG00000102081
ENST00000220592.9_140585254_140635603_177	16.424069880290002	-11.318466140157199	ENST00000220592	ENSG00000123908
ENST00000220764.6_90001456_90017161_144	12.381598657804401	-12.375824452326901	ENST00000220764	ENSG00000104325
ENST00000221504.12_13116344_13116505_162	16.553338229490198	-10.2313431275575	ENST00000221504	ENSG00000104907
ENST00000222120.7_11337442_11339620_171	16.799316145221	-10.2959879487275	ENST00000222120	ENSG00000105514
ENST00000222388.6_151226379_151226471_93	12.9695489577999	-11.4162212810308	ENST00000222388	ENSG00000033050
ENST00000227524.8_60906376_60906573_198	21.2513229063329	-12.4419014614241	ENST00000227524	ENSG00000110107
ENST00000227524.8_60906393_60906524_132	20.1211752764205	-12.4419014614241	ENST00000227524	ENSG00000110107
ENST00000228307.11_120224195_120265640_207	24.8053853131177	-13.229250724939499	ENST00000228307	ENSG00000089159
