baseMean log2FoldChange lfcSE stat pvalue padj
ENST00000005259.8_107580025_107580192_168 102.125 8.6634187006823 2.8212670464531 3.07075457871809 0.00213518575880409 0.0350025244583549
ENST00000005259.8_107580062_107580127_66 102.125 8.6634187006823 2.8212670464531 3.07075457871809 0.00213518575880409 0.0350025244583549
ENST00000005259.8_107580183_107583902_246 116.25 9.83332175429397 2.95178582582907 3.33131274913283 0.000864374307664593 0.0207064893657989
ENST00000005558.8_112423167_112423241_75 86.375 8.41982246253543 2.84186608541498 2.96277945880266 0.00304874920460204 0.0425359327720421
ENST00000005558.8_112423202_112423282_81 86.375 8.41982246253543 2.84186608541498 2.96277945880266 0.00304874920460204 0.0425359327720421
ENST00000005558.8_112423254_112423325_72 86.375 8.41982246253543 2.84186608541498 2.96277945880266 0.00304874920460204 0.0425359327720421
ENST00000005558.8_112423354_112450620_192 120.5 9.08777191898047 2.5814120729567 3.52046541278142 0.000430790172200904 0.0142517108990803
ENST00000005558.8_112423368_112450574_132 105.25 9.04365548475765 3.02133155187092 2.99326814336463 0.00276007134476704 0.0404393519607374
ENST00000005558.8_112423430_112450642_138 124.625 8.98544642954709 2.58148399895177 3.48072908187527 0.000500051003200201 0.0154461400205589
ENST00000006658.10_50547172_50548285_165 34.5 9.607193872725 2.77446799103733 3.46271570036496 0.000534753098668754 0.0159630741405042
ENST00000007708.7_50097432_50097497_66 25 8.36948347048152 2.68642847539718 3.11546856621377 0.00183652921483765 0.031648914407373
ENST00000009041.11_38178224_38207489_240 14 7.64375815259285 2.64204214174057 2.89312499291066 0.00381429471821474 0.0477093909721145
ENST00000011619.5_13711328_13711543_216 51.625 9.81364497533719 2.71082230005267 3.62017273325017 0.000294406410195883 0.0114622218487138
ENST00000012134.6_142774819_142774914_96 42 9.33972138354195 2.69769123435444 3.46211651822969 0.000535945073879693 0.0159820464864913
ENST00000013125.8_50532059_50532404_105 119.75 8.28774824582717 2.64148056487377 3.13753898326458 0.00170372616490068 0.0303203486345876
ENST00000013125.8_50532081_50532158_78 119.625 8.32016954536232 2.63993397785887 3.15165819113038 0.00162346196048902 0.0295673249144081
ENST00000013125.8_50532454_50532522_69 112 11.4799955051268 2.75050970196545 4.17377022772306 2.99599921326924e-05 0.00296258229896739
ENST00000013125.8_50532526_50532600_75 110.625 8.7795802758783 2.80140160502923 3.13399558996351 0.00172443447631099 0.030532215346182
ENST00000019019.6_48476197_48476271_75 79 9.10051723254383 2.89925795858562 3.13891256402153 0.00169576038272553 0.0302513790925935
ENST00000040738.9_13620039_13627618_303 102.75 8.67228774356846 2.8033765442845 3.09351512598244 0.00197800469581319 0.0332485839139633
ENST00000040738.9_13627422_13627715_294 102.75 8.67228774356846 2.8033765442845 3.09351512598244 0.00197800469581319 0.0332485839139633
ENST00000044462.11_78540471_78542548_204 983.625 -9.22565346962194 2.30568926202371 -4.00125620636519 6.3007090343786e-05 0.00458801980817248
ENST00000046640.7_3636747_3637240_219 19.875 8.8500668022229 2.74192016066675 3.22768945980938 0.00124794369802981 0.0251829811184501
ENST00000046640.7_3637107_3637259_153 19.75 8.73459107699886 2.73594224204383 3.1925348944771 0.0014102990369286 0.0270108035838284
ENST00000046640.7_3637198_3637284_87 19.625 8.60906179310168 2.72984902418401 3.15367689452169 0.00161227482449475 0.0293982877572766
ENST00000046640.7_3640197_3640265_69 23.375 10.5071754224129 2.64337098024331 3.97491517495807 7.04043446633232e-05 0.00488392812167294
ENST00000066544.7_47172004_47189263_255 200.375 7.92158314753473 2.72336137199288 2.90875211384009 0.00362874459358906 0.0463221537658037
ENST00000066544.7_47189185_47189250_66 176.75 12.6126827525143 2.80416328348645 4.49784177219266 6.86467542320631e-06 0.00113865035568151
ENST00000072869.8_140673169_140673288_120 18.75 8.53613300755718 2.7119036099203 3.14765354355941 0.00164586640657352 0.0296995203273488
ENST00000072869.8_140673182_140673274_93 18.5 8.24662992006334 2.69927343792018 3.0551295041889 0.00224963359929137 0.0360522314215911
ENST00000085079.11_55675313_55675393_81 69.875 10.6696194669403 2.75187790354304 3.87721397566482 0.000105659428182868 0.00631745092693382
ENST00000085079.11_55675333_55675422_90 72.75 12.2139152866605 2.84764641562514 4.28912635348345 1.79377309026579e-05 0.00213086035019891
ENST00000155926.8_12717021_12717467_447 19.75 10.1307763502184 2.61481473204767 3.87437634722402 0.000106898104361245 0.006363270931517
ENST00000155926.8_12717236_12717571_336 18.875 9.84535856124963 2.80390762455286 3.51129918654852 0.000445922224987227 0.0145869656766346
ENST00000156471.9_34964283_34969638_108 224.25 14.4362875754183 2.63899277143205 5.4703778394908 4.49077154705963e-08 6.35139816731809e-05
ENST00000156471.9_34969547_34969684_138 221.875 13.7638328355805 2.87908480333498 4.78062779520672 1.74748632449046e-06 0.000535499260064029
ENST00000156471.9_34969691_34969753_63 218.125 9.76388083993784 2.85552682870129 3.41929227972917 0.000627842478845868 0.0171190439416199
ENST00000156471.9_34969750_34969830_81 218.125 9.76388083993784 2.85552682870129 3.41929227972917 0.000627842478845868 0.0171190439416199
ENST00000156471.9_34969757_34969834_78 218.125 9.76388083993784 2.85552682870129 3.41929227972917 0.000627842478845868 0.0171190439416199
ENST00000160827.8_29790746_29796910_102 106.375 9.90621741564821 2.5709579477651 3.8531230836582 0.000116620728796627 0.00671623441968925
ENST00000164305.9_55319048_55319230_183 12.125 8.51164181808709 2.75630220410364 3.08806552685507 0.00201464043118599 0.0336808953460791
ENST00000166345.7_892643_892894_252 116.625 8.8562801518797 2.84658544986698 3.11119420367077 0.00186332351986867 0.0319830552094196
ENST00000166345.7_892650_892913_264 116.625 8.8562801518797 2.84658544986698 3.11119420367077 0.00186332351986867 0.0319830552094196
ENST00000174653.3_42154584_42154673_90 35.125 11.4924417420674 2.88269142638565 3.98670549226169 6.69971029220244e-05 0.00473460809406154
ENST00000181839.8_39950068_39950385_318 13.875 9.20199846715497 2.85275056663759 3.22565827337683 0.00125683322194631 0.0253200307783968
ENST00000186436.9_97995536_97995880_345 198.75 8.1875430871691 2.57100100590673 3.18457405048022 0.00144967215671141 0.0275208331269359
ENST00000186436.9_97995571_97995846_276 195.125 9.6025421023865 2.84118836462008 3.3797625746896 0.000725484716319255 0.0186908269169085
ENST00000188312.6_100200093_100200317_225 87.875 8.44487608644401 2.84774038677616 2.96546557602612 0.00302225166568826 0.0423641373267596
ENST00000188312.6_100200115_100200237_123 87.875 8.44487608644401 2.84774038677616 2.96546557602612 0.00302225166568826 0.0423641373267596
ENST00000188312.6_100200134_100200295_162 87.875 8.44487608644401 2.84774038677616 2.96546557602612 0.00302225166568826 0.0423641373267596
ENST00000188312.6_100200320_100200490_171 87.875 8.44487608644401 2.84774038677616 2.96546557602612 0.00302225166568826 0.0423641373267596
ENST00000188312.6_100200330_100200401_72 87.875 8.44487608644401 2.84774038677616 2.96546557602612 0.00302225166568826 0.0423641373267596
ENST00000188312.6_100200412_100200582_171 87.875 8.44487608644401 2.84774038677616 2.96546557602612 0.00302225166568826 0.0423641373267596
ENST00000188312.6_100200459_100200731_273 87.875 8.44487608644401 2.84774038677616 2.96546557602612 0.00302225166568826 0.0423641373267596
ENST00000188312.6_100200497_100200562_66 87.875 8.44487608644401 2.84774038677616 2.96546557602612 0.00302225166568826 0.0423641373267596
ENST00000188312.6_100200622_100200699_78 87.875 8.44487608644401 2.84774038677616 2.96546557602612 0.00302225166568826 0.0423641373267596
ENST00000188312.6_100200775_100200852_78 89.75 11.5323082839807 2.81505467863713 4.09665516321834 4.19162573088558e-05 0.00369787687640921
ENST00000188376.9_98593741_98593857_117 956.5 9.99386344112853 3.1617318858237 3.16088264344556 0.00157291857705555 0.0288842585487663
ENST00000190611.8_178284981_178306065_177 52.625 8.86250739124044 2.76132022513228 3.20951815388087 0.00132957650351172 0.0259949900420429
ENST00000190611.8_178306082_178306195_114 52.625 11.2583995784527 2.86999183544281 3.92279846911679 8.75263617119543e-05 0.00561906753292524
ENST00000191018.9_45891361_45891569_66 317.875 9.2512238379187 2.70402682021427 3.4212766562669 0.00062327894386342 0.0170689594005224
ENST00000194214.9_53940082_53945925_387 101 8.64731960068027 2.81829770541763 3.06827755778159 0.0021529654744248 0.0351928798376025
ENST00000194214.9_53940096_53945900_348 101 8.64731960068027 2.81829770541763 3.06827755778159 0.0021529654744248 0.0351928798376025
ENST00000194214.9_53945570_53945719_150 101 8.64731960068027 2.81829770541763 3.06827755778159 0.0021529654744248 0.0351928798376025
ENST00000196551.7_58387279_58388138_63 494.625 10.4438752865896 3.03262385493873 3.44384130250159 0.000573512226068978 0.0163573685143636
ENST00000196551.7_58387286_58388214_132 472.75 10.8824664759444 2.83293866440974 3.84140560918631 0.00012233177754993 0.00689404499891118
ENST00000199389.10_6058971_6059210_240 146.5 10.8738929830102 2.84131888305309 3.82705828897525 0.000129683813666436 0.0071410084484085
ENST00000199389.10_6059156_6059224_69 138.75 9.10837820664167 2.8185375750518 3.23159722519373 0.00123100437772774 0.0249762588803373
ENST00000199814.8_150698567_150701085_303 115.75 8.7131679271748 2.95092662283467 2.95268877909438 0.00315019386536877 0.0431570964184535
ENST00000199814.8_150700446_150700996_117 110.5 8.34065493447618 2.8583205107641 2.91802647850941 0.00352254436373524 0.0458058026836294
ENST00000200135.7_113773699_113773782_84 144.625 9.16852079764222 2.85360328032167 3.21296266403531 0.001313733662108 0.025773718867529
ENST00000201015.8_27963756_27971968_423 98 8.84120460180334 2.73822256796626 3.22881153096693 0.00124305786394267 0.0251363060419959
ENST00000201015.8_27970087_27970158_72 71.25 8.1394219065451 2.80619544798801 2.90051853386795 0.00372545806085301 0.0470927241061624
ENST00000201031.2_56629306_56629404_99 93.25 12.1840734413219 2.86663979640476 4.25029801672425 2.13486276510385e-05 0.00239710078600268
ENST00000201031.2_56629477_56629557_81 90.25 8.48367460890087 2.86399700585146 2.96217998537281 0.00305469162999211 0.0425678529441196
ENST00000209873.8_53321390_53321527_138 81.375 8.05336604931983 2.78488075273826 2.89181719590732 0.00383020736168539 0.0477756094870639
ENST00000209873.8_53321410_53321577_168 74 10.4832708229467 2.88340046427432 3.6357318217971 0.000277192588032917 0.0110899629644203
ENST00000212015.10_67884684_67887530_582 83.375 8.46609126832795 2.45693518226292 3.44579349485744 0.000569385290152072 0.0163172405523357
ENST00000212015.10_67884709_67884894_186 65.5 11.4192924187459 2.61568894285484 4.36569204833757 1.26720907215299e-05 0.00167503549870495
ENST00000215115.4_30893884_30893994_111 31.125 8.23592257705988 2.5130840149096 3.27721736646999 0.0010483562869963 0.0228233081819424
ENST00000215115.4_30893898_30894233_336 23 9.50964900827663 2.73135081230612 3.48166517659717 0.000498306344416723 0.0154371518479928
ENST00000215567.9_14529565_14529624_60 150 9.22143648948365 2.84209258695418 3.24459397692111 0.00117618199350003 0.0241732934948839
ENST00000216027.7_28742080_28742295_216 16.125 8.29221200480376 2.70300717922934 3.06777283779467 0.00215660489040461 0.0352253077107353
ENST00000216080.5_50506105_50507076_651 50.75 7.21545191854996 2.39637408028853 3.01098729864463 0.0026039974479533 0.039348565970458
ENST00000216194.11_40346537_40346647_111 141.625 14.4678628223703 2.95710745148495 4.89257257632118 9.9526396311079e-07 0.000396757311560831
ENST00000216194.11_40346554_40349871_198 131 9.02499307121332 2.83279963584205 3.18589177893996 0.00144308567305743 0.02746823147331
ENST00000216254.8_41469128_41499799_129 145.25 9.08006733256368 2.57726298101492 3.52314350512572 0.00042646038350963 0.0142148461779082
ENST00000216277.12_96502393_96520128_282 65.5 13.8185023032289 3.33983128699046 4.13748513496945 3.5113318956935e-05 0.0032999185444802
ENST00000216281.12_102086994_102087191_198 7114.5 -7.37853277314442 1.75366027666109 -4.20750408237159 2.58206740245957e-05 0.002686096360813
ENST00000216288.11_103385888_103386025_138 81.875 8.34193946405227 2.83177197320012 2.94583728598219 0.0032208178185442 0.0436657658881432
ENST00000216288.11_103385896_103386015_120 81.875 8.34193946405227 2.83177197320012 2.94583728598219 0.0032208178185442 0.0436657658881432
ENST00000216500.9_60165227_60165442_216 231.5 9.85002941993457 2.81267447973051 3.50201542728057 0.000461752881065476 0.0149707368350448
ENST00000216500.9_60165309_60165560_252 231.5 9.85002941993457 2.81267447973051 3.50201542728057 0.000461752881065476 0.0149707368350448
ENST00000216500.9_60165524_60169845_231 231.5 9.85002941993457 2.81267447973051 3.50201542728057 0.000461752881065476 0.0149707368350448
ENST00000216500.9_60165564_60169738_84 231.5 9.85002941993457 2.81267447973051 3.50201542728057 0.000461752881065476 0.0149707368350448
ENST00000216500.9_60169791_60169853_63 231.5 9.85002941993457 2.81267447973051 3.50201542728057 0.000461752881065476 0.0149707368350448
ENST00000216714.7_20455262_20455390_129 219.125 9.77050604832094 2.82649781611609 3.45675343975558 0.000546724831013345 0.0161751416132978
ENST00000217233.7_380896_388075_339 39.875 12.080270650536 3.23897596348722 3.7296573937924 0.000191740304868523 0.00901764006982267
ENST00000217233.7_381150_388083_93 40.5 12.1784492743471 3.24432785047247 3.75376652287885 0.000174197127328518 0.00861665332257812
ENST00000218089.13_123960519_123960695_177 317.375 10.3064623429318 2.84673625410442 3.62044862008976 0.000294092649667316 0.0114562454893132
ENST00000218089.13_123960530_123960781_252 320.125 13.891383526224 2.84553371429184 4.88182004537632 1.05111157244561e-06 0.000403918611444207
ENST00000218089.13_123960741_124021381_141 332.5 10.7013626439766 2.46659328984868 4.33851932056182 1.43445876265088e-05 0.0018266005437331
ENST00000218089.13_123960815_124021410_96 324.875 8.83936632648864 2.69120343801259 3.2845403664527 0.00102148864257453 0.0224648445218906
ENST00000218089.13_124021385_124022582_99 320.625 14.1137718009565 2.8597421461871 4.93533020792604 8.00152655313944e-07 0.00036681223063437
ENST00000218200.12_147911962_147921939_276 82 8.78275256447246 2.39602344877281 3.66555367768658 0.000246804035984374 0.0104373699372444
ENST00000218200.12_147912020_147912160_141 72 8.15468828739645 2.80750194012022 2.90460646557817 0.00367715119447038 0.0466916910020343
ENST00000218516.3_101407818_101407925_108 78.5 8.28063479918288 2.84684490742552 2.90870597747852 0.00362928010006863 0.0463235134474717
ENST00000219431.4_78257_79232_171 28.125 10.399670402847 2.79362013579112 3.72265014473843 0.000197142603428051 0.0091878563730911
ENST00000219431.4_78285_79278_189 28.125 10.399670402847 2.79362013579112 3.72265014473843 0.000197142603428051 0.0091878563730911
ENST00000219794.10_31108297_31109103_240 50.75 7.85592187544225 2.63227780057679 2.98445774747667 0.00284081433149184 0.0410486836803361
ENST00000219794.10_31108302_31109174_306 50.875 7.88393624224922 2.62986046204353 2.99785344357131 0.00271888386763518 0.0402201524121135
ENST00000219905.11_41660422_41660502_81 124.5 8.95113846802384 2.84060823864078 3.1511344458773 0.00162637607143115 0.0295691099937857
ENST00000219905.11_41660433_41668854_120 124.5 8.95113846802384 2.84060823864078 3.1511344458773 0.00162637607143115 0.0295691099937857
ENST00000219905.11_41660492_41668976_183 129.25 8.10315326279939 2.79962272350809 2.89437330064448 0.00379916196980944 0.0475862554023852
ENST00000220592.9_140585254_140635603_177 86 12.6526581854453 2.88219195148956 4.38994293176975 1.13380412107721e-05 0.00154000549185106
ENST00000220764.6_90001456_90017161_144 396 10.2396633289799 2.44849291302246 4.1820269417647 2.88921722608301e-05 0.00289141292406762
ENST00000220888.9_115620034_115668643_126 52.375 -9.12175818210366 3.11406990201588 -2.9292079076962 0.00339827036545852 0.0447619100983616
ENST00000220959.8_102412304_102412480_177 279.25 10.1213655379774 2.86088929569464 3.53783893463096 0.000403416059741132 0.0139441974913467
ENST00000220959.8_102412578_102412667_90 279.25 10.1213655379774 2.86088929569464 3.53783893463096 0.000403416059741132 0.0139441974913467
ENST00000221138.8_30812363_30812629_267 53.375 9.50500914646832 2.87619973930733 3.30471107989093 0.00095074353591263 0.0217667662445983
ENST00000221418.8_38831760_38832002_243 118.75 8.88250022240572 2.82034215410017 3.1494406483598 0.00163583332705933 0.0296526027064832
ENST00000221418.8_38831821_38831901_81 118.75 8.88250022240572 2.82034215410017 3.1494406483598 0.00163583332705933 0.0296526027064832
ENST00000221504.12_13116344_13116505_162 62 11.3357887719425 2.78898353871923 4.064487514741 4.8138115513412e-05 0.00399189327220531
ENST00000222120.7_11337442_11339620_171 63.875 11.7110674972213 2.83928405911388 4.12465510790643 3.71290707567539e-05 0.00342999863573733
ENST00000222388.6_151226379_151226471_93 192.125 10.7519793818484 2.41055663150604 4.46037203246742 8.1817500406847e-06 0.00128300920094998
ENST00000222597.6_107744150_107748948_96 62 9.7217114115189 2.8941619794465 3.35907647207022 0.000782034232584727 0.0194799585935326
ENST00000222803.9_30026441_30026521_81 37.75 9.62420430564938 2.74074974026579 3.51152247294058 0.000445547790760083 0.0145817598500715
ENST00000223029.7_6009255_6009314_60 98.125 8.60534361191553 2.79755054809006 3.07602792656975 0.00209778196106555 0.0346259082420943
ENST00000223029.7_6009314_6009379_66 103.75 8.5464507035794 2.79469336316049 3.05809961702357 0.00222745515918963 0.035845761996962
ENST00000223145.9_7968825_7969772_948 19.25 9.60951167408294 2.78474016498006 3.45077497532045 0.000558979418461472 0.0162182487321852
ENST00000223324.2_42932208_42932297_90 79.875 8.30592907514198 2.81122907715864 2.95455434159671 0.00313121003653063 0.0429915139769091
ENST00000223324.2_42932218_42935003_348 103.25 8.50263213129182 2.73751825132364 3.10596363227192 0.00189660040060157 0.0323383395638337
ENST00000223324.2_42932255_42932344_90 79.875 8.30592907514198 2.81122907715864 2.95455434159671 0.00313121003653063 0.0429915139769091
ENST00000223324.2_42932313_42934963_213 99.5 8.46740497138145 2.71775423060244 3.11558892118972 0.00183577990709972 0.0316461024789978
ENST00000224652.10_121924312_121927954_129 39.25 9.55060822415494 2.78451879228447 3.42989540979878 0.000603813947611745 0.0168087233026583
ENST00000225792.9_64504766_64506208_210 1618.375 12.6594899842775 2.61343806553798 4.84399846746377 1.27251913778133e-06 0.000439702480865319
ENST00000225792.9_64506127_64506318_192 1623.25 8.30197220110299 2.63830698781243 3.1467043977269 0.00165121805002777 0.0297516815414816
ENST00000225792.9_64506266_64506433_168 1618.375 12.6594899842775 2.61343806553798 4.84399846746377 1.27251913778133e-06 0.000439702480865319
ENST00000225792.9_64506366_64506452_87 1618.375 12.6594899842775 2.61343806553798 4.84399846746377 1.27251913778133e-06 0.000439702480865319
