baseMean log2FoldChange lfcSE stat pvalue padj
ENST00000002165.10_143495710_143511634_1401 323.393261534366 -10.7183376320551 1.5590568223586 -6.87488581451445 6.20395321483935e-12 6.12599899286318e-11
ENST00000005259.8_107580773_107618360_723 247.371892848876 -11.0682281083041 1.47481291063616 -7.50483537842762 6.15058462333252e-14 1.21442516269264e-12
ENST00000005260.8_98293524_98400852_1533 144.333458976804 -9.57280169739788 1.49531010651545 -6.40188390066161 1.53471353544929e-10 1.00355107553836e-09
ENST00000005558.8_112450689_112475516_1353 453.467686705346 -10.7189700599481 1.47825336995612 -7.25110476850545 4.13385753697723e-13 6.04511038938531e-12
ENST00000006658.10_50547209_50555659_2406 571.254254159436 -9.58604299113539 1.56549573250596 -6.12332744963191 9.16410894600271e-10 5.05610619202062e-09
ENST00000011619.5_13622365_13711505_2187 267.273385345116 -10.2997704537462 1.48366711237231 -6.94210336527404 3.86304378607544e-12 4.08077337800701e-11
ENST00000011700.10_12277121_12509021_9629 263.808072084952 -9.95178412377541 1.47818340792824 -6.73244204365913 1.6683885200295e-11 1.44203437258294e-10
ENST00000012134.6_142753110_142774738_7338 316.309256578216 -10.850902894696 1.49353818079459 -7.26523301126669 3.72395777204814e-13 5.55927698292846e-12
ENST00000013125.8_50420022_50532049_2538 847.854603811124 -11.5003750553943 1.52725343934476 -7.53010257441512 5.07004784495716e-14 1.02652964126912e-12
ENST00000019019.6_48478048_48483015_981 289.653000578446 -10.3414066022861 1.51711404575867 -6.81649914928753 9.32857792545968e-12 8.69229175752085e-11
ENST00000022615.8_42394212_42405459_849 571.666017929036 -11.8237952106997 1.52210150593328 -7.76807273667986 7.96892990705192e-15 2.23323990188842e-13
ENST00000040738.9_13570014_13627587_9153 341.827717412594 -11.9907555494754 1.54775632630806 -7.74718561679378 9.39515729833982e-15 2.52857673508062e-13
ENST00000042381.8_67538447_67546460_3657 254.132034229147 -9.33293098972721 1.48439746230334 -6.28735310234583 3.22924326971279e-10 1.95429729231727e-09
ENST00000055077.7_74232109_74254383_1062 361.12013252346 -10.8610723817074 1.45892009473655 -7.44459715161349 9.72406908529224e-14 1.80211701599576e-12
ENST00000066544.7_47120938_47189172_2472 580.343266793388 -11.8658926727778 1.4638197366682 -8.10611605755894 5.22635261152292e-16 2.53962378368737e-14
ENST00000083182.7_60447584_60525931_1755 271.985299653043 -11.0477521181167 1.49315642820485 -7.39892479410139 1.37291574190189e-13 2.39360945311308e-12
ENST00000085079.11_55678628_55695353_1650 1038.85386266918 -10.7795473982557 1.48178361096611 -7.2747109081788 3.47163093289312e-13 5.23870096842214e-12
ENST00000156471.9_34856795_34969613_4455 567.161212614483 -11.9427309037345 1.52160826624675 -7.84875527338769 4.20186634711193e-15 1.32473841036387e-13
