baseMean log2FoldChange lfcSE stat pvalue padj
ENST00000002165.10_143495710_143511634_1401 317.102260113047 -10.723485472697 2.50620973911906 -4.27876618038614 1.87932153746668e-05 0.000418576160617578
ENST00000005178.5_95585644_95596293_1233 15.060809116524 -8.2906336661691 3.03785253308484 -2.72910998011817 0.00635055204230935 0.0372501539293012
ENST00000005259.8_107580773_107618360_723 246.559918771431 -11.0667415169563 2.49465863391966 -4.43617470001015 9.15715420593189e-06 0.00026460936564009
ENST00000005260.8_98293524_98400852_1533 142.102451802768 -9.59465766237947 2.50223624743309 -3.83443316841969 0.00012585418420519 0.00154306140839865
ENST00000005558.8_112450689_112475516_1353 443.397263696787 -10.699407381346 2.49307213859557 -4.29165575103389 1.77345742626549e-05 0.000404799954843878
ENST00000006658.10_50547209_50555659_2406 552.76465356568 -9.56215594494033 2.51258637821577 -3.80570237419283 0.000141402339597776 0.00168903092679013
ENST00000007708.7_50097497_50110094_1029 146.63679038606 -9.40093402475848 2.50849802263428 -3.74763461638537 0.000178510036807995 0.00202043688019217
ENST00000009041.11_38207505_38228851_702 115.99021688121 -8.05242341442258 2.52202741865991 -3.19283737950053 0.00140882262013816 0.0105911822461277
ENST00000010132.6_4591181_4613750_1560 65.7511544770219 -7.85049677629569 2.51829162841841 -3.11738985576747 0.0018246011220561 0.0132311291137337
ENST00000011619.5_13622365_13711505_2187 261.648586098665 -10.3197875660498 2.49550798466506 -4.13534544047346 3.54421090796061e-05 0.000638971571308258
ENST00000011700.10_12277121_12509021_9629 257.505996020097 -9.96661703072396 2.49472396869873 -3.99507807507965 6.4672936774188e-05 0.000967335408615254
ENST00000012134.6_142753110_142774738_7338 307.694082433701 -10.8739893814582 2.49647208886308 -4.35574242146256 1.32616652653668e-05 0.000333802480804577
ENST00000013125.8_50420022_50532049_2538 825.323310903188 -11.5055841424846 2.49806171652924 -4.60580459896332 4.10874072372639e-06 0.000158433607082247
ENST00000019019.6_48478048_48483015_981 283.969713506508 -10.3350220502197 2.49981915699198 -4.13430788435745 3.56025927543845e-05 0.000640084166591218
ENST00000022615.8_42394212_42405459_849 569.21373308431 -11.8163360244413 2.49972292743679 -4.72705830504092 2.27795871834102e-06 0.000111328287362825
ENST00000040738.9_13570014_13627587_9153 337.518218952171 -11.9958334459269 2.50375621848762 -4.79113475878773 1.65840689859547e-06 9.26674541882668e-05
ENST00000042381.8_67538447_67546460_3657 247.460372628114 -9.29569345278623 2.49883858118536 -3.7200055749006 0.000199218380487689 0.00219116785674609
ENST00000046640.7_3640207_3660366_1101 67.3329549239535 -8.8771664842111 2.52626916187418 -3.51394325600101 0.000441507116100179 0.00407212834930142
ENST00000055077.7_74232109_74254383_1062 355.913245198344 -10.8662319339331 2.4897092521224 -4.36445818911183 1.2743821992862e-05 0.000326446523159088
ENST00000066544.7_47120938_47189172_2472 573.150280205651 -11.8603682859804 2.48909997890428 -4.76492241633516 1.88926329333795e-06 9.92315560456748e-05
ENST00000072869.8_140673331_140694800_1878 165.170972867845 -8.53953233035295 2.50264129791301 -3.41220786913179 0.000644389541910747 0.00551372201447346
ENST00000075503.7_10620147_10634618_1266 17.9302172773147 -7.22204614589058 2.73491060476427 -2.64068819408928 0.00827378267935083 0.0456351334275441
ENST00000083182.7_60447584_60525931_1755 270.120613524928 -11.0474529712369 2.49643036470885 -4.42529987113234 9.63084056148956e-06 0.000274701733453163
ENST00000085079.11_55678628_55695353_1650 1005.34585156802 -10.7825248296791 2.4903053015005 -4.32980037555324 1.49244570749783e-05 0.000360144801802862
ENST00000155674.9_17138024_17165244_1179 177.946169527004 -8.68725138693082 2.5092256565385 -3.46212440650514 0.000535929365372643 0.00474488197005399
ENST00000155926.8_12718308_12740791_1029 64.2010025958842 -8.05385461372374 2.53650096256034 -3.17518295187012 0.00149742058025402 0.0111719124541425
ENST00000156471.9_34856795_34969613_4455 563.094165898617 -11.9336553513089 2.49996137509607 -4.77353589146963 1.81019270959014e-06 9.79519855794114e-05
ENST00000158166.5_3865907_3885687_1560 28.2352503774458 -6.94014675326941 2.57069347654839 -2.69971772853595 0.00693983291346527 0.0399138211799046
ENST00000159087.6_17323520_17334670_3696 121.021258455171 -7.71095033972164 2.52607408434507 -3.0525432280506 0.00226911045799947 0.0158758501366829
ENST00000160262.9_10333860_10339614_1641 174.595500559465 -8.01054375314678 3.05005312903141 -2.62636203838543 0.0086302969791899 0.0471151904269193
ENST00000160827.8_29790760_29805307_1995 450.270017891744 -11.11187117523 2.49776243973515 -4.44873019085365 8.63794417553076e-06 0.000255625478644012
ENST00000161863.8_113513896_113593380_4290 161.371108196772 -9.36458095066399 3.27883891014405 -2.8560661890683 0.00428925706369345 0.0272473695152311
ENST00000164133.6_64925735_64933841_1491 94.496218382594 -7.45307775028593 2.51334719760988 -2.96539919250854 0.00302290397451569 0.0203625918465845
ENST00000164305.9_55319251_55355429_1662 62.8817360696149 -7.12941810626748 2.54049272315096 -2.80631313811634 0.00501119678859624 0.0309333475436453
