baseMean log2FoldChange lfcSE stat pvalue padj
ENST00000002165.10_143495710_143511634_1401 207.766787586071 -7.55810479217113 1.85300503345906 -4.07883662251158 4.52616297364217e-05 0.00116919958901034
ENST00000005178.5_95585644_95596293_1233 11.8115778907062 -5.63850657619918 2.05940874776683 -2.73792494195892 0.0061828185251532 0.0434146782991754
ENST00000005259.8_107580773_107618360_723 185.583700257079 -7.9338133955681 1.85934937839352 -4.26698364909931 1.98133675075894e-05 0.000669916428911161
ENST00000005260.8_98293524_98400852_1533 95.6209477170633 -6.40683980663748 1.81379358290442 -3.5322871726 0.00041198169805467 0.00540344692917159
ENST00000005558.8_112450689_112475516_1353 288.210146075852 -7.66536743760197 1.87636977987835 -4.08521151843479 4.4036682271368e-05 0.00114761890139043
ENST00000006658.10_50547209_50555659_2406 321.806606337695 -6.59529825570231 1.90528675891501 -3.46157775192753 0.000537018974959155 0.00657939334214567
ENST00000007708.7_50097497_50110094_1029 92.2739476742997 -6.25677396933203 1.83050341661933 -3.41806189080345 0.000630687636307891 0.00742098185850372
ENST00000009041.11_38207505_38228851_702 69.5998797018814 -4.78210686657355 1.77867922928017 -2.6885718278213 0.00717583958169273 0.0487598202754766
ENST00000011619.5_13622365_13711505_2187 167.197901816322 -7.12412133211495 1.8334411263909 -3.88565590111893 0.000102053974832543 0.00203736711953499
ENST00000011700.10_12277121_12509021_9629 161.550424598934 -6.8075830331925 1.8426681314882 -3.6944162200789 0.000220392543225121 0.00347524895342418
ENST00000012134.6_142753110_142774738_7338 186.735445098899 -7.66735794984733 1.83097141406778 -4.18759019990003 2.81931986110988e-05 0.000843048179674046
ENST00000013125.8_50420022_50532049_2538 500.597779685756 -8.28457105928791 1.76504887531974 -4.69367799109084 2.68336304521848e-06 0.000169345317412897
ENST00000019019.6_48478048_48483015_981 191.067043805087 -7.29364468693603 1.88454202914648 -3.87024782367914 0.000108724771863379 0.00212630932817195
ENST00000022615.8_42394212_42405459_849 430.794910716257 -8.74393598518574 1.84337576087248 -4.74343656393051 2.10122763483761e-06 0.000147212165886032
ENST00000040738.9_13570014_13627587_9153 231.599997860709 -8.79273778259393 1.83813727277016 -4.78350442747012 1.72265095427122e-06 0.00012638342741572
ENST00000042381.8_67538447_67546460_3657 155.009719747461 -6.28521614128697 1.88966038847617 -3.32610884983169 0.000880675295630449 0.00951073254135294
ENST00000046640.7_3640207_3660366_1101 46.8690848796377 -5.84874371912056 1.82595039274896 -3.203123010541 0.00135945899536426 0.0132948629703879
ENST00000055077.7_74232109_74254383_1062 243.58813720937 -7.73084580443281 1.84762361226573 -4.18421033002092 2.86159075128777e-05 0.000852053867423335
ENST00000061240.6_165873905_166100873_3039 43.7709214965756 6.48167396464919 2.25804566535308 2.8704795762559 0.00409849672396147 0.0311761991593851
ENST00000066544.7_47120938_47189172_2472 401.176638068322 -8.74560620868555 1.82270920877042 -4.79813574573711 1.60149231323703e-06 0.000120819860795664
ENST00000072869.8_140673331_140694800_1878 99.5266174963582 -5.46188483088742 1.84424754554489 -2.96157901583309 0.0030606594871436 0.0247371638422357
ENST00000083182.7_60447584_60525931_1755 197.388411212897 -7.90774667243839 1.85761533009762 -4.25693443864012 2.07249098547008e-05 0.000688284795703704
ENST00000085079.11_55678628_55695353_1650 583.8074911807 -7.66170357512861 1.77109204962464 -4.3259770584778 1.51857228074043e-05 0.000570218456903784
ENST00000155674.9_17138024_17165244_1179 106.701783116692 -5.50521498596475 1.82386254197743 -3.01843744210899 0.00254081853538852 0.0214091582260214
ENST00000155926.8_12718308_12740791_1029 42.9043469189948 -4.96330455301378 1.79856687204002 -2.75958855362668 0.00578741997034448 0.0412068424192245
ENST00000156471.9_34856795_34969613_4455 423.457549279418 -8.90357568996081 1.85857450676741 -4.79054009271152 1.66332982258784e-06 0.000123212684624604
ENST00000160827.8_29790760_29805307_1995 300.577448189228 -8.08947812132355 1.88316606518071 -4.29567963808189 1.74158940297286e-05 0.00061664297702189
ENST00000166345.7_892999_917100_1296 268.238163242968 -7.71364638728741 1.88956854573064 -4.08222628637415 4.46063324641181e-05 0.00115868829636956
ENST00000174653.3_42154688_42169058_1254 57.1323380292346 -6.07549561291986 1.82851968509809 -3.32263068450037 0.000891728902294377 0.00960870076855334
ENST00000178640.9_67543336_67806747_1344 50.7445041495141 -5.16398830970609 1.83701915176974 -2.81106939180858 0.00493771354312159 0.0362306106589147
ENST00000182377.8_29270450_29333791_1545 76.9682267006526 -6.45710712351692 1.88286303368489 -3.42940883537341 0.000604897604992578 0.00719986351951404
ENST00000184956.10_60043566_60078914_3543 206.166663502138 -7.91597310703205 1.85467260915008 -4.26812423280441 1.97123542297229e-05 0.000668762524285714
ENST00000186436.9_97757102_97995662_5649 482.940659635779 -8.84912220947683 1.81840411313907 -4.86642223559469 1.13636606705359e-06 9.40998516294762e-05
ENST00000188312.6_100200852_100223912_1188 192.602361761229 -7.58131320451809 1.90112357803019 -3.98780662768556 6.66869838382081e-05 0.00151072601428378
ENST00000189444.10_102395960_102402373_2697 123.961979077117 -6.67327169983115 1.84385683208951 -3.61919189369427 0.000295524439965403 0.00423524503338026
ENST00000190611.8_178306185_178395556_2802 122.538113953321 -6.88537569569585 1.94455673942399 -3.54084586790479 0.000398846500903951 0.0052806597510883
ENST00000191018.9_45891569_45898447_1440 1014.32623513691 -9.71411130272477 1.73060359882229 -5.61313480992149 1.98693679776674e-08 5.47905162883677e-06
ENST00000192788.5_34792251_34872435_4320 89.0726777125066 -6.57629005602103 1.84999646622944 -3.55475817174098 0.00037832688301011 0.00507621818244006
ENST00000194214.9_53921654_53940082_432 205.260181855412 -7.7922676020702 1.85256745817222 -4.20619911447555 2.59701444641091e-05 0.000801321618065496
ENST00000194900.8_70445202_70502266_2547 91.3798953104467 -6.69182215356787 1.85567535994908 -3.60613838928782 0.000310787437051345 0.00439278370079735
ENST00000196551.7_58388138_58394747_612 2027.77733720218 -10.4064431886923 1.63068097039602 -6.38165488995989 1.75184408016515e-10 1.81601347999046e-07
ENST00000199389.10_6024676_6059083_1890 582.017210116609 -8.33996218236151 1.76338010517574 -4.72953174297627 2.25038269179335e-06 0.000153064304156997
ENST00000199814.8_150691754_150700985_1260 205.773417831029 -7.9159910906332 1.88582996003547 -4.19761657115911 2.69738820108058e-05 0.000822857747793399
ENST00000200135.7_113733697_113773666_2337 277.742108519012 -8.12208019681175 1.89313867976439 -4.29027217267707 1.78454275829322e-05 0.000627726983857984
ENST00000201015.8_27963347_27969494_525 108.596685067105 -7.85552691471681 1.83938362997856 -4.27073873371831 1.94826540846612e-05 0.000663785764060355
ENST00000201031.2_56629545_56638010_1350 186.269553180464 -8.0943544857036 1.9229510031148 -4.20933995332817 2.56117788401022e-05 0.000793784494187715
ENST00000202556.13_103735157_103847307_3270 79.082968473261 -5.78480426646551 1.87272366165565 -3.08897910829579 0.00200845562038448 0.0179027593499813
ENST00000203001.6_5938538_5950405_1491 221.72311467696 -7.24203813969509 1.82452256384622 -3.96927847492791 7.20905922365062e-05 0.00159758003650639
ENST00000205214.10_56338405_56384299_3294 82.8141604914606 -6.12259086949291 1.88803728627693 -3.24283366329391 0.0011834728240734 0.0119552590949488
ENST00000209873.8_53307492_53321465_1638 156.894227201268 -7.43785404582483 1.89952495652119 -3.91563902347805 9.01650695930823e-05 0.00186659033494141
ENST00000211379.9_31639134_31651763_3378 159.989984096094 -6.92245603236814 1.82888965364221 -3.78505943132334 0.000153671849719625 0.00268652180000161
ENST00000212015.10_67884722_67916590_2241 176.266506315718 -8.0628471694466 1.8888907662031 -4.26856190612542 1.96737230168215e-05 0.000667856681040409
ENST00000215115.4_30887868_30893944_651 137.958530894069 -5.82466602618971 1.8197740968186 -3.20076323559754 0.00137064107476086 0.0133831756642183
ENST00000215567.9_14529697_14565868_924 339.159154181731 -8.6007320858323 1.85654213220286 -4.63266194537003 3.60993747595795e-06 0.00020681155900126
ENST00000215739.12_20982372_20997345_2520 61.3006648674437 -5.50190819832354 1.81284061320433 -3.03496521329501 0.00240563431883768 0.0205748812681277
ENST00000215980.9_41939059_41947076_540 71.407332283389 -5.89551622093391 1.85589854370426 -3.17663712864757 0.0014899333241674 0.0142985577953442
ENST00000216027.7_28742096_28757166_705 50.8100791227407 -4.9573225297244 1.79595666016595 -2.76026846286276 0.00577538802286159 0.0411473425917966
ENST00000216037.10_28795549_28800524_783 73.6223895067627 7.21867051301366 2.28642571185153 3.15718567876322 0.00159299874686274 0.015024917245473
ENST00000216080.5_50503394_50507054_2046 197.612203697268 -7.16301321253777 1.86518726675471 -3.84037213861152 0.000122847943733514 0.00229915820605639
ENST00000216083.6_38866212_38872190_1182 79.1161380246361 -6.9369893701639 1.8464040679659 -3.7570266934074 0.000171944161734116 0.00291233418604059
ENST00000216194.11_40346559_40366519_1494 398.627453387703 -8.16527879160615 1.84286032554846 -4.4307637851914 9.38999044673028e-06 0.000409371405940084
ENST00000216218.7_40826541_40856540_1107 33.3992462728319 -5.09452607102561 1.74734336194375 -2.91558384115097 0.00355023703942666 0.0277795875025196
ENST00000216252.3_41460401_41468653_330 75.9658579483872 -6.2240030564021 1.85110050308933 -3.36232584131157 0.000772888629553343 0.00864949214416974
